nombre,telefono,ciudad,provincia,website,fuente,outreach_status,scraped_at
Grupo Garcia S.R.L,+54 223 304-1586,Mar del Plata,Córdoba,http://www.garciapropiedades.com.ar/,google_maps,pending,2026-04-23T17:39:30.721737
Inmobiliaria en Carlos Paz - MMLUISA,+54 3541 52-8601,Villa Carlos Paz,Córdoba,https://mmluisa.com/,google_maps,pending,2026-04-23T17:39:30.721752
Silvia Armesto & Asociados Inmobiliaria,+54 3541 43-1656,Villa Carlos Paz,Córdoba,http://www.armestoinmobiliaria.com.ar/,google_maps,pending,2026-04-23T17:39:30.721760
Noé Garay Inmobiliaria - Villa Carlos Paz,+54 3541 64-0916,Villa Carlos Paz,Córdoba,https://www.noegaray.com/,google_maps,pending,2026-04-23T17:39:30.721785
inmobiliaria Paulazzo,+54 3541 33-6769,Villa Carlos Paz,Córdoba,https://inmobiliariapaulazzo.com.ar/,google_maps,pending,2026-04-23T17:39:30.721810
COMINCINI INMOBILIARIA,+54 3541 42-2898,Villa Carlos Paz,Córdoba,http://www.comincini.com.ar/,google_maps,pending,2026-04-23T17:39:30.721821
Inmobiliaria Melina Distéfano,+54 9 3541 30-1366,Villa Carlos Paz,Córdoba,http://www.distefanoinmo.com.ar/,google_maps,pending,2026-04-23T17:39:30.721831
Inmobiliaria Bartmus - en carlos paz,+54 3541 65-8160,Villa Carlos Paz,Córdoba,http://www.inmobiliariabartmus.com/,google_maps,pending,2026-04-23T17:39:30.721841
Carlos Paladino e Hijos Inmobiliaria,+54 3541 43-3633,Villa Carlos Paz,Córdoba,http://carlospaladinoehijos.com.ar/,google_maps,pending,2026-04-23T17:39:30.721845
Inmobiliaria Silvestri Calcagno,+54 3541 57-7953,Villa Carlos Paz,Córdoba,https://inmobiliaria-silvestricalcagno.com/,google_maps,pending,2026-04-23T17:39:30.721849
Juan Pablo Ortega - Inmobiliaria Villa Carlos Paz,+54 3541 54-4000,Villa Carlos Paz,Córdoba,http://inmobiliariavillacarlospaz.com.ar/,google_maps,pending,2026-04-23T17:39:30.721853
LAND inmobiliaria,+54 9 3541 68-0008,Villa Carlos Paz,Córdoba,https://landinmobiliaria.com.ar/,google_maps,pending,2026-04-23T17:39:30.721877
DANIEL CHAVES SERVICIOS INMOBILIARIOS,+54 351 747-3330,Villa Carlos Paz,Córdoba,https://chavesinmobiliaria.com.ar/property-search/?status=venta&type=departamento&_gl=1*omxrz*_gcl_aw*R0NMLjE3NzEwMDY0ODkuQ2p3S0NBaUF0THZNQmhCX0Vpd0ExdTZfUGhGU056UUpLb21oSzVjNk96YzJMWmJXVGViMzJTX3VhSGVHLWZTNnZVcHVQeUd1TmxGeWFCb0NoWjhRQXZEX0J3RQ..*_gcl_au*MTMwMDIwMTI0My4xNzcwOTk5NzY4LjE0ODU0Mjk4MzcuMTc3MTc5ODYyNS4xNzcxNzk4OTU5*_ga*ODM5MjM1MjI3LjE3NjMxMzIxNDM.*_ga_HK8YD6HRTP*czE3NzIwNTI1MDEkbzg5JGcwJHQxNzcyMDUyNTAxJGo2MCRsMCRoMA..,google_maps,pending,2026-04-23T17:39:30.721882
Grupo Inmobiliaria Cernotto,+54 3541 42-1738,Villa Carlos Paz,Córdoba,http://www.cernotto.com.ar/,google_maps,pending,2026-04-23T17:39:30.721887
Inmobiliaria Peisina Bienes Raices,+54 9 3541 66-7275,Villa Carlos Paz,Córdoba,http://www.peisinabienesraices.com.ar/,google_maps,pending,2026-04-23T17:39:30.721910
Cortinez Lourenço - Consultora Inmobiliaria,+54 9 3541 55-9194,Villa Carlos Paz,Córdoba,https://www.tutierraenlasierra.com.ar/,google_maps,pending,2026-04-23T17:39:30.721920
Dillet propiedades,+54 3548 42-6385,La Falda,Córdoba,https://www.dilletpropiedades.com.ar/,google_maps,pending,2026-04-23T17:39:30.721940
Del Sol Inmobiliaria SRL.,+54 3548 42-2905,La Falda,Córdoba,https://delsolinmobiliaria.com/,google_maps,pending,2026-04-23T17:39:30.721997
Inmobiliaria Zeller,+54 3548 40-9365,La Falda,Córdoba,http://zellerinmobiliaria.com.ar/,google_maps,pending,2026-04-23T17:39:30.722007
A Bonapace Negocios Inmobiliarios,+54 3548 42-2392,La Falda,Córdoba,http://www.abonapace.com.ar/,google_maps,pending,2026-04-23T17:39:30.722016
Conti Propiedades,+54 3548 50-9966,La Falda,Córdoba,https://www.contipropiedades.com.ar/,google_maps,pending,2026-04-23T17:39:30.722033
Mi Casa en el Oeste,+54 3548 43-7037,La Falda,Córdoba,https://www.micasaeneloeste.com.ar/,google_maps,pending,2026-04-23T17:39:30.722050
Inmobiliaria Ricardo Alfonso,+54 3548 57-7896,La Falda,Córdoba,http://inmobiliariaricardoalfonso.com/,google_maps,pending,2026-04-23T17:39:30.722066
Ledesma-Godoy Inmobiliaria,+54 3548 40-0139,La Falda,Córdoba,https://www.inmobiliarialedesmagodoy.com.ar/,google_maps,pending,2026-04-23T17:39:30.722076
Domus Soluciones Inmobiliarias,+54 9 3548 46-2638,La Falda,Córdoba,https://domuspropiedades.com/,google_maps,pending,2026-04-23T17:39:30.722093
Germanier Propiedades,+54 9 3548 41-6267,La Falda,Córdoba,https://germanierpropiedades.com/,google_maps,pending,2026-04-23T17:39:30.722118
Juan Manuel Reyes - Inmobiliaria Edén,+54 3548 40-0289,La Falda,Córdoba,http://www.inmobiliariaeden.com/,google_maps,pending,2026-04-23T17:39:30.722122
"Moreno & Laurent, Grupo Inmobiliario",+54 3525 62-1010,Jesús María,Córdoba,http://www.morenolaurentgroup.com.ar/,google_maps,pending,2026-04-23T17:39:30.722132
Inmobiliaria Proyectos LG,+54 351 378-1637,Jesús María,Córdoba,http://proyectoslginmobiliaria.com.ar/,google_maps,pending,2026-04-23T17:39:30.722141
Lopez Gallo & Asociados - Estudio Jurídico - Contable - Inmobiliario,+54 3525 54-8014,Jesús María,Córdoba,http://www.lopezgallonegociosinmobiliarios.com/,google_maps,pending,2026-04-23T17:39:30.722145
Cecilia Arlla Servicios Inmobiliarios,+54 3525 48-7530,Jesús María,Córdoba,https://www.ceciliaarlla.com.ar/,google_maps,pending,2026-04-23T17:39:30.722149
Ezequiel Flores Inmobiliaria,+54 3525 61-4380,Jesús María,Córdoba,https://ezequielfloresinmobiliaria.com/,google_maps,pending,2026-04-23T17:39:30.722159
Inmobiliaria CASTIGLIA,+54 3525 42-0805,Jesús María,Córdoba,http://www.juancastiglia.com/,google_maps,pending,2026-04-23T17:39:30.722168
Mariano Keiddine Inmobiliaria,+54 3525 53-4216,Jesús María,Córdoba,,google_maps,pending,2026-04-23T17:39:30.722178
Almada Inmobiliaria,+54 9 3525 43-1528,Jesús María,Córdoba,,google_maps,pending,2026-04-23T17:39:30.722181
SANTUCHO BIENES RAÍCES,+54 9 3525 64-2378,Jesús María,Córdoba,,google_maps,pending,2026-04-23T17:39:30.722185
INVERSIONES GENERALES M&M Inmobiliaria,+54 3525 41-8526,Jesús María,Córdoba,https://www.inversionesgeneralesmym.com/,google_maps,pending,2026-04-23T17:39:30.722189
Departamentos Temporarios Jesús María de Adriana Fidelio,+54 3525 53-2470,Jesús María,Córdoba,https://www.facebook.com/AdrianaFidelioDepartamentosTemporarios/,google_maps,pending,2026-04-23T17:39:30.722193
Novello Servicios Inmobiliarias,+54 3525 40-1423,Jesús María,Córdoba,,google_maps,pending,2026-04-23T17:39:30.722197
Inmobiliaria Canalda/Cordoba,+54 3525 64-1593,Jesús María,Córdoba,,google_maps,pending,2026-04-23T17:39:30.722200
Casa Negocios Inmobiliarios,+54 353 454-8265,Villa María,Córdoba,http://casainmobiliaria.com.ar/,google_maps,pending,2026-04-23T17:39:30.722204
Gustavo Chiri Madison Propiedades,+54 353 657-6254,Villa María,Córdoba,http://www.madisonpropiedades.com.ar/,google_maps,pending,2026-04-23T17:39:30.722235
Leandro Bonoris Negocios Inmobiliarios,+54 353 452-6179,Villa María,Córdoba,http://leandrobonoris.com/,google_maps,pending,2026-04-23T17:39:30.722240
Berrini Negocios Inmobiliarios,+54 353 452-2842,Villa María,Córdoba,http://www.inmobiliariaberrini.com.ar/,google_maps,pending,2026-04-23T17:39:30.722244
Suelo Argentino,+54 353 421-9830,Villa María,Córdoba,https://sueloargentino.com/,google_maps,pending,2026-04-23T17:39:30.722248
Inmobiliaria Invernizzi,+54 353 452-1540,Villa María,Córdoba,,google_maps,pending,2026-04-23T17:39:30.722259
INMOGROUP Bienes Raices,+54 9 353 420-9113,Villa María,Córdoba,https://inmogroupvm.com.ar/,google_maps,pending,2026-04-23T17:39:30.722262
Poblar Negocios Inmobiliarios,+54 353 461-0786,Villa María,Córdoba,http://www.inmobiliariapoblar.com/contacto,google_maps,pending,2026-04-23T17:39:30.722266
Costa Propiedades - Villa Maria,+54 353 425-3230,Villa María,Córdoba,,google_maps,pending,2026-04-23T17:39:30.722270
Navarro & Galasso - Movimientos Inmobiliarios.,+54 353 453-1060,Villa María,Córdoba,http://www.navarrogalasso.com/,google_maps,pending,2026-04-23T17:39:30.722274
Organización Martínez Inmobiliaria,+54 9 353 508-5782,Villa María,Córdoba,http://www.orgmartinezinmobiliaria.es.tl/,google_maps,pending,2026-04-23T17:39:30.722279
Inmobiliaria Todo En Casa,+54 9 353 418-6863,Villa María,Córdoba,,google_maps,pending,2026-04-23T17:39:30.722290
B.M. Pedraza Operaciones Inmobiliarias,+54 353 453-4720,Villa María,Córdoba,https://bmpedraza.com.ar/,google_maps,pending,2026-04-23T17:39:30.722294
Nicolas Gerarduzzi - Negociacion de Bienes,+54 353 427-6519,Villa María,Córdoba,https://www.facebook.com/NGerarduzzi,google_maps,pending,2026-04-23T17:39:30.722299
Amadeo Grasso,+54 353 414-0029,Villa María,Córdoba,,google_maps,pending,2026-04-23T17:39:30.722302
Inmobiliaria Emateguy - Lerda,0358 436-5239,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:29.105373
Inés Lapegüe Inmobiliaria Río Cuarto,0358 423-6135,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:29.208319
CARASSO Inmobiliaria,0358 15-486-5032,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:29.282741
Inmobiliaria Somare frelli,0358 437-6678,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:29.380540
Inmobiliaria Plaza Balduino Gonzalez Nieri,0358 420-0104,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:29.464567
Dealta Imobiliaria,0358 15-435-6325,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:29.572238
Inmobiliaria Gariboldi,0358 15-507-2712,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:29.688469
Inmobiliaria Ramello,0358 602-5349,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:29.796847
Inmobiliaria Garombo,0358 15-602-4729,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:29.972567
Inmobiliaria Bustos & Asoc.,0358 418-4274,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:30.139806
Amvito Inmobiliario,0358 15-513-7670,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:30.300668
Palmares del Lago,0358 462-2298,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:30.431728
Insiemme Profesionales,0358 462-1656,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:30.543671
Verdolini - Operaciones Inmobiliarias,0358 462-2220,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:30.634240
AF Bienes Raices,0358 431-7014,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:30.742318
Inmobiliaria Lugis,0358 464-8412,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:30.847538
Alvarez Abella Inmobiliaria,0358 507-9855,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:30.945245
Inmobiliaria Giordano Conti,0358 486-4404,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:31.044812
Feliciani & Rosas Servicios Inmobiliarios,0358 15-439-3008,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:31.135050
Melappioni & Asoc. Inmobiliaria - Estudio juridico,0358 424-7914,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:31.209102
Graciela Pajaro Inmobiliaria,0358 462-7770,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:31.292906
Sigma Inmobiliaria,0358 402-7943,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:31.370891
Grupo Brunt Inversiones Inmobiliarias,0358 654-2878,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:31.460617
AZ NEGOCIOS INMOBILIARIOS,0358 463-0447,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:31.551347
Los Caciques,0358 434-6557,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:31.728168
Gutierrez Inmobiliaria S.A,0358 602-3268,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:31.911595
Inmobiliaria Maria Ronchi,0358 15-424-0697,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:31.998576
MC Inmobiliaria,0358 504-2961,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:32.089028
Inmobiliaria americana,0358 15-506-0310,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:32.188120
Maldonado Inversiones Inmobiliarias,0358 438-4230,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:32.259786
Inmobiliaria Quattrini,0358 463-2805,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:32.331322
Inmobiliaria Ottonelli Grupo Inmobiliario,0358 462-6109,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:32.403753
Diego Gutierrez INMOBILIARIA,0358 15-490-1912,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:32.471916
Inmobiliaria la Estancia,0358 464-4675,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:32.556930
Inmobiliaria Sarmiento Propiedades,0358 431-7660,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:32.651892
Inmobiliaria Balbin Perassi,0358 401-1087,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:32.767929
Inmobiliaria Continental,0358 462-6854,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:32.871159
Americainmuebles,0358 504-6303,Río Cuarto,Córdoba,,google_maps,pending,2026-04-27T20:49:32.979086
Casa Negocios Inmobiliarios,0353 454-8265,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:52.552213
Berrini Negocios Inmobiliarios,0353 452-2842,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:52.789133
Leandro Bonoris Negocios Inmobiliarios,0353 452-6179,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:52.886355
Gustavo Chiri Madison Propiedades,0353 657-6254,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:52.989720
INMOGROUP Bienes Raices,0353 15-420-9113,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:53.093867
Navarro & Galasso - Movimientos Inmobiliarios.,0353 453-1060,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:53.194781
Inmobiliaria Invernizzi,0353 452-1540,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:53.345357
Poblar Negocios Inmobiliarios,0353 461-0786,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:53.445723
Suelo Argentino,0353 421-9830,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:53.544179
Matías Zuccón Negocios Inmobiliarios,0353 420-9403,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:53.651160
Organización Martínez Inmobiliaria,0353 15-508-5782,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:53.748143
Costa Propiedades - Villa Maria,0353 425-3230,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:53.832110
Inmobiliaria Todo En Casa,0353 15-418-6863,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:53.928599
INMOBILIARIA M.E.FERRIERES,0353 401-7397,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:54.004916
B.M. Pedraza Operaciones Inmobiliarias,0353 453-4720,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:54.118557
Propieta negocios inmobiliarios,0353 427-7141,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:54.303429
RAIZ GRUPO INMOBILIARIO,0353 461-2539,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:54.422920
Inmobiliaria ArgüelloyAsoc.,0353 421-4303,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:54.515901
Inmobiliaria PAMPA,0353 15-657-0355,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:54.771529
AYRES - NEGOCIOS INMOBILIARIOS,0351 15-563-7997,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:54.861351
MB Negocios Inmobiliarios,0353 461-5560,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:54.938288
Primer Piso - Gestión Inmobiliaria,0353 564-5455,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:55.042047
Inmobiliaria Custo,0353 452-6296,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:55.136149
CONYCOR - Estudio Contable e Inmobiliaria,0353 454-6716,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:55.227616
Grupo Fonte,0353 423-1068,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:55.337557
Giaquinta Propiedades,0353 452-6312,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:55.427343
F. Saires Servicios Inmobiliarios,0353 508-3326,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:55.508891
Casas en venta Villa Maria,0353 412-0112,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:55.578443
Ana María López Inmobiliaria,0353 452-8355,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:55.753543
Inmobiliaria Rüedi,0353 563-5265,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:55.941634
Divicor Inmobiliaria,0353 461-3555,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:56.029280
URBE - Negocios Inmobiliarios,0353 15-401-6571,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:56.113482
Amadeo Grasso,0353 414-0029,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:56.206770
Índice Verde inmobiliaria rural,0353 421-9824,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:56.301765
Tenedini Propiedades,0353 417-4539,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:56.381096
Eugenía Astiz,0353 461-0803,Villa María,Córdoba,,google_maps,pending,2026-04-27T20:49:56.472648
Inmobiliaria López Quiñones,0351 235-8607,Villa Carlos Paz,Córdoba,,google_maps,pending,2026-04-27T20:50:41.282063
DANIEL CHAVES SERVICIOS INMOBILIARIOS,0351 747-3330,Villa Carlos Paz,Córdoba,,google_maps,pending,2026-04-27T20:50:42.252013
Inmobiliaria Proyectos LG,0351 378-1637,Jesús María,Córdoba,,google_maps,pending,2026-04-27T20:51:03.247742
