sep=;
prioridad;nombre;telefono_google;whatsapp_estado;whatsapp_para_contacto;whatsapp_link;website;email;direccion;rating;reviews;categoria;nota_outreach;query_fuente;cid
🔴;Bischoff Inmobiliaria;02255 50-9785;confirmado_en_web;5492255509785;https://wa.me/5492255509785;http://www.bischoffinmobiliaria.com/;bischoffinmobiliaria@gmail.com;Bunge N° 740 - Pinamar, Bunge 740 - Pinamar, Av. 3 N° 771, B7165 Villa Gesell, Provincia de Buenos Aires;4.6;17;Consultor inmobiliario;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";broker inmobiliario Villa Gesell;8717290950412411270
🔴;Inmobiliaria Roncoroni Propiedades Mar de las Pampas;02255 45-3911;confirmado_en_web;5492255608005;https://wa.me/5492255608005;http://www.roncoroni-propiedades.com/;hola@terravirtual.com.ar, gesell@roncoroni-propiedades.com;Avenida El Lucero, Mercedes Sosa &, B7165 Mar de las Pampas, Provincia de Buenos Aires;4.7;10;Agencia inmobiliaria;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliaria Mar de las Pampas;14237974224574309008
🔴;Gianini Inmobiliaria Mar Azul;02255 47-9558;confirmado_en_web;5491557132083;https://wa.me/5491557132083;https://www.gianiniinmobiliaria.com.ar/;inmobiliariagianini@gmail.com, gianiniinmobiliaria@gmail.com;calle 33, Mar del Plata y, B7165 Mar Azul, Provincia de Buenos Aires;;;Agentes inmobiliarios;"WhatsApp confirmado en la web; tiene web para auditar antes de escribir; email visible";inmobiliaria Mar Azul Buenos Aires;15324572693548661700
🟡;Rush Propiedades;02255 42-5606;probable_no_verificado_google_phone;5492255425606;https://wa.me/5492255425606;http://www.rushpropiedades.com/;;Calle 44 N° 651 Punta Indio, C. Pinamar y, B7163 Mar Azul, Provincia de Buenos Aires;4.8;84;Agencia inmobiliaria;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir";inmobiliaria Mar Azul Buenos Aires;5391433010221815818
🟡;Fogliese Propiedades Villa Gesell;02255 45-3002;probable_no_verificado_google_phone;5492255453002;https://wa.me/5492255453002;https://www.foglieseprop.com.ar/;alicia@foglieseprop.com.ar;Av. 3 1973, B7165 Villa Gesell, Provincia de Buenos Aires;4.3;70;Agencia inmobiliaria;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir; email visible";inmobiliarias Villa Gesell Buenos Aires;9930264589825600979
🟡;Costa y Sierras;02255 46-7427;probable_no_verificado_google_phone;5492255467427;https://wa.me/5492255467427;http://www.costaysierras.com.ar/;costaysierras@gmail.com, amy.miller@houzez.com;El lucero e/ Sta maria y querandies, B7165 Villa Gesell, Provincia de Buenos Aires;4.4;62;Agencia inmobiliaria;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir; email visible";inmobiliaria Mar de las Pampas;7084787602756648138
🟡;Inmobiliaria | Bravo Inmuebles | Villa Gesell;02255 46-2381;probable_no_verificado_google_phone;5492255462381;https://wa.me/5492255462381;http://www.bravoinmuebles.com/;info@bravoinmuebles.com;Av. Buenos Aires 757, B7165 Villa Gesell, Provincia de Buenos Aires;3.6;37;Agencia inmobiliaria;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir; email visible";inmobiliarias Villa Gesell Buenos Aires;6100381435576288064
🟡;Inmobiliaria Bahlcke Propiedades;02255 43-9571;probable_no_verificado_google_phone;5492255439571;https://wa.me/5492255439571;http://www.bahlckepropiedades.com.ar/;;Av. Buenos Aires 1144, B7165 Villa Gesell, Provincia de Buenos Aires;4.6;32;Agencia inmobiliaria;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir";broker inmobiliario Villa Gesell;14439792033737074328
🟡;Pugliese Propiedades;02255 47-5463;probable_no_verificado_google_phone;5492255475463;https://wa.me/5492255475463;https://www.puglieseprop.com.ar/;puglieseprop@gmail.com;Avenida 3, P.º 145 y, B7165 Villa Gesell, Provincia de Buenos Aires;4.1;28;Agencia inmobiliaria;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir; email visible";propiedades Villa Gesell inmobiliaria;8740265862364257038
🟡;Oilher Propiedades;02255 50-8002;probable_no_verificado_google_phone;5492255508002;https://wa.me/5492255508002;http://www.oilherpropiedades.com/;oilherpropiedades@gmail.com;Av. Buenos Aires 708, B7165 Villa Gesell, Provincia de Buenos Aires;4.9;23;Agentes inmobiliarios;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir; email visible";broker inmobiliario Villa Gesell;15896530825153715625
🟢;Brailovsky Propiedades;02267 15-67-6010;sin_numero_util;;;http://brailovskypropiedadesvg.com.ar/;sbnegociosinmobiliarios.vg@gmail.com;C. 107 605, B7165 Villa Gesell, Provincia de Buenos Aires;4.9;22;Agentes inmobiliarios;"sin teléfono usable; tiene web para auditar antes de escribir; email visible";broker inmobiliario Villa Gesell;13287530373420386112
🟡;Inmobiliaria | Bravo Inmuebles | Mar de las Pampas;02255 47-7717;probable_no_verificado_google_phone;5492255477717;https://wa.me/5492255477717;http://www.bravoinmuebles.com/;info@bravoinmuebles.com;Las Toninas, Peñaloza &, Mar de las Pampas, Provincia de Buenos Aires;4.3;12;Agencia inmobiliaria;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir; email visible";inmobiliaria Mar de las Pampas;7248036075937517404
🟡;Mar Azul inmobiliaria;02255 45-2194;probable_no_verificado_google_phone;5492255452194;https://wa.me/5492255452194;http://www.marazulsa.com.ar/;marazulsa1959@gmail.com, vazquez-mardelaspampas@hotmail.com;Av. El Lucero 433, B7165 Mar de las Pampas, Provincia de Buenos Aires;4.2;6;Agencia inmobiliaria;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir; email visible";inmobiliaria Mar de las Pampas;5008555438310361357
🟡;Saenz Propiedades Mar de las Pampas;02255 45-8839;probable_no_verificado_google_phone;5492255458839;https://wa.me/5492255458839;https://www.saenzpropiedades.com.ar/;;B7165 Mar de las Pampas, Provincia de Buenos Aires;5;2;Consultor inmobiliario;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir";inmobiliaria Mar de las Pampas;6605540243426049654
🟡;DIEZ INMOBILIARIA;02255 45-8398;probable_no_verificado_google_phone;5492255458398;https://wa.me/5492255458398;;;Calle 33 N°240 entre Punta del Este, Mar del Plata y, B7165 Mar Azul, Provincia de Buenos Aires;4.4;26;Agentes inmobiliarios;"Teléfono de Google; WhatsApp a verificar manualmente; sin web detectada en Google Places";inmobiliaria Mar Azul Buenos Aires;3905798606637989978
🟡;MARTIN propiedades;02255 47-4115;probable_no_verificado_google_phone;5492255474115;https://wa.me/5492255474115;;;C. 33, B7165 Mar Azul, Provincia de Buenos Aires;4.9;17;Agencia inmobiliaria;"Teléfono de Google; WhatsApp a verificar manualmente; sin web detectada en Google Places";inmobiliaria Mar Azul Buenos Aires;3552112210066680193
