corridor,micro_zone,city,priority,name,sector,phone,phone_quality,ask_for,offer,hook,google_maps,source
Base Río Tercero,Río Tercero,Río Tercero,B,MetalMec S.R.L.,Implementos y accesorios,03571 681577 / 03571 506656,OK,despacho / producción,"Despacho de estructuras, tanques, transformadores, piezas de ingeniería y equipos sobre plataforma 20 tn.",Ofrecer retiro/entrega con monitoreo GPS.,"https://www.google.com/maps/search/?api=1&query=-32.170500,-64.118500",Facebook MetalMec
Base Río Tercero,Río Tercero,Río Tercero,B,Oleos San José S.R.L.,Extrusado/aceite de soja,03571 692471 / 03571 640630,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Entrar por mantenimiento/planta.,"https://www.google.com/maps/search/?api=1&query=-32.182600,-64.102500",Parque Industrial Río Tercero
Base Río Tercero,Río Tercero,Río Tercero,C,Grupo AVO S.A.,Aceite de soja / balanceados,Portería parque: 03571 565662,VER,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Visitar si queda en ruta del parque.,"https://www.google.com/maps/search/?api=1&query=-32.175431,-64.127787",Parque Industrial Río Tercero
Base Río Tercero,Río Tercero,Río Tercero,C,Áridos S.A.,Áridos / cantera,A relevar,A relevar,planta / mantenimiento,Movimiento de equipos de cantera/planta; transporte de material suelto sujeto a confirmar unidad o esquema operativo.,Solo vender si se confirma caja volcadora o servicio tercerizable.,"https://www.google.com/maps/search/?api=1&query=-32.175149,-64.110626",EMIS / Instagram @aridos.sa
Corralito / acceso secundario RN36,Corralito · S-253 / S-372 hacia Autovía 36,Corralito,A,AGD — Planta de Acopio Corralito,Acopio agroindustrial,03571 492144 / 492172 / 492228,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Acopio AGD; pedir operaciones/mantenimiento.,"https://www.google.com/maps/search/?api=1&query=-32.022500,-64.191000",agd.com.ar/es/corralito-acopio
Corralito / acceso secundario RN36,Corralito · S-253 / S-372 hacia Autovía 36,Corralito,B,Trisoil S.A.,Alimentos balanceados / aceite,03571 502525 / 502526,OK,mantenimiento / compras,"Traslados especiales de mantenimiento, repuestos pesados, mudanzas internas y cargas con seguro/GPS.",Ofrecer fletes de repuestos/equipos y cargas especiales.,"https://www.google.com/maps/search/?api=1&query=-32.030000,-64.183000",trisoil.com.ar
Río Cuarto / RN36 sur,Alcira Gigena,Alcira Gigena,A,Cotagro — Alcira Gigena,Cooperativa agroindustrial / maní / acopio,358 4393127 / 358 4125695 / 0358 4933333,OK,operaciones / entregas,"Entrega y descarga de módulos/containers con plataforma, malacate e hidrogrúa según maniobra.",Cotagro concentra 4 puntos del corredor; pedir compras/logística.,"https://www.google.com/maps/search/?api=1&query=-32.755782,-64.339199",Facebook Cotagro / cotagroweb.com.ar
Río Cuarto / RN36 sur,Elena,Elena,A,CAGLE — Cooperativa Agrícola de Elena,Acopio / agro / estación de servicios,3584 881118,OK,operaciones / entregas,"Entrega y descarga de módulos/containers con plataforma, malacate e hidrogrúa según maniobra.",Obras recientes + nueva planta futura: transporte de equipos.,"https://www.google.com/maps/search/?api=1&query=-32.569649,-64.392432",cagle.com.ar
Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,A,AFEMA S.A.,Constructora vial,0351 7371862,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador, estructuras y materiales pesados; descarga o posicionamiento cuando aplique.",Obras viales activas; pedir jefe de obra/logística.,"https://www.google.com/maps/search/?api=1&query=-33.105000,-64.335000",Facebook AFEMA
Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,A,BIDESA Obras Viales y Civiles,Obra vial / UTE,A relevar en obrador,A relevar,jefe de obra / logística,"Transporte de equipos, módulos de obrador, estructuras y materiales pesados; descarga o posicionamiento cuando aplique.","Si está en obra, entrar por obrador; teléfono no público.","https://www.google.com/maps/search/?api=1&query=-33.108000,-64.327000",Construar / Boletín Oficial
Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,A,Canteras Bringas,Áridos / hormigón / obra pública,0358 154906010,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador, estructuras y materiales pesados; descarga o posicionamiento cuando aplique.",Pegada a Circunvalación: muy caliente para obra vial.,"https://www.google.com/maps/search/?api=1&query=-33.145000,-64.425000",gurugo.com.ar / canterasbringas.ar
Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,A,CasaContainer Río Cuarto,Módulos / containers,0358 4310288,OK,operaciones / entregas,"Entrega y descarga de módulos/containers con plataforma, malacate e hidrogrúa según maniobra.",Ellos venden “te lo llevamos”; PRESOL puede ser proveedor logístico.,"https://www.google.com/maps/search/?api=1&query=-33.118737,-64.382102",Facebook CasaContainer
Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,A,Construcciones Metálicas El Colono S.A.,Estructuras metálicas / silos,0358 4628525,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador, estructuras y materiales pesados; descarga o posicionamiento cuando aplique.",Uno de los mejores encajes; pedir despacho/montaje.,"https://www.google.com/maps/search/?api=1&query=-33.151690,-64.357888",elcolonosa.com.ar / Facebook
Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,A,Dexco Constructora,Constructora local,0358 4640139 / 0358 154869634,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador, estructuras y materiales pesados; descarga o posicionamiento cuando aplique.",Tiene obras activas; pedir compras/operaciones.,"https://www.google.com/maps/search/?api=1&query=-33.112715,-64.369622",constructoradexco.com/contacto
Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,A,Luciano S.A.,Obra vial / UTE,A relevar,A relevar,jefe de obra / logística,"Transporte de equipos, módulos de obrador, estructuras y materiales pesados; descarga o posicionamiento cuando aplique.",Oferente/contratista; buscar obrador primero.,"https://www.google.com/maps/search/?api=1&query=-33.111000,-64.329000",Construar / licitaciones
Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,A,Marinelli S.A.,Áridos / hormigón / obras,0358 4647058,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador, estructuras y materiales pesados; descarga o posicionamiento cuando aplique.",Tiene cantera y flota; ofrecer respaldo/picos/traslados especiales.,"https://www.google.com/maps/search/?api=1&query=-33.102771,-64.336058",marinellisa.store
Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,A,Paolini Hnos S.A.,Obra vial / constructora nacional,011 48779600,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador, estructuras y materiales pesados; descarga o posicionamiento cuando aplique.",Teléfono central; mejor entrar por obrador local.,"https://www.google.com/maps/search/?api=1&query=-33.114000,-64.331000",paolini.com.ar
Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,A,Soardo Construcciones,Constructora local,0358 4166315,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador, estructuras y materiales pesados; descarga o posicionamiento cuando aplique.",Pedir responsable de obra; cotizar un próximo traslado.,"https://www.google.com/maps/search/?api=1&query=-33.119000,-64.351000",soardoconstrucciones.site
Río Cuarto / RN36 sur,Alcira Gigena,Alcira Gigena,B,Cooperativa Alba de Gigena,Cooperativa agropecuaria,0358 4960151,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Visita de diagnóstico; posible derivación a productores.,"https://www.google.com/maps/search/?api=1&query=-32.757500,-64.335000",DNB / fuentes públicas
Río Cuarto / RN36 sur,Berrotarán,Berrotarán,B,Doble A Servicios Metalúrgicos,Zinguería / estructuras metálicas,358 4185826,OK,despacho / producción,"Despacho de estructuras, tanques, transformadores, piezas de ingeniería y equipos sobre plataforma 20 tn.",Visitar y detectar obras/instalaciones próximas.,"https://www.google.com/maps/search/?api=1&query=-32.452000,-64.388000",Facebook Doble A Servicios Metalúrgicos
Río Cuarto / RN36 sur,Chucul,Chucul,B,Cotagro — Sucursal Chucul,Acopio agropecuario,0358 4912008 / 0358 4933333,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Punto de paso; no dedicar medio día.,"https://www.google.com/maps/search/?api=1&query=-33.016000,-64.208000",Maptons / Cotagro
Río Cuarto / RN36 sur,Elena,Elena,B,Gliestore S.A.,Soja / alimentos / exportación,0358 4641548 / 9358 4024598,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Empresa exportadora; preguntar por logística de equipos y planta.,"https://www.google.com/maps/search/?api=1&query=-32.571800,-64.390000",Exportadores de Córdoba
Río Cuarto / RN36 sur,Las Higueras,Las Higueras,B,Parque Industrial y Logístico Las Higueras,Radicaciones / logística,A relevar vía municipio/parque,A relevar,despacho / producción,"Despacho de estructuras, tanques, transformadores, piezas de ingeniería y equipos sobre plataforma 20 tn.",Pedir listado de empresas radicadas y obras en apertura de calles.,"https://www.google.com/maps/search/?api=1&query=-33.093000,-64.288000",argentina.gob.ar / La Voz
Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,B,Agrorio Maquinarias,Maquinaria agrícola,03586 093110,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Ofrecer PRESOL como transportista regional confiable.,"https://www.google.com/maps/search/?api=1&query=-33.125500,-64.382000",Facebook AgroRío
Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,B,Capello S.A.,Constructora / corralón,0358 4645929,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador, estructuras y materiales pesados; descarga o posicionamiento cuando aplique.",Vender apoyo logístico para obras y compras pesadas.,"https://www.google.com/maps/search/?api=1&query=-33.121500,-64.350500",guia.deriocuarto.ar
Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,B,Cotagro — Río Cuarto,Agro / fertilizantes / acopio,0358 4933333,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Punto dentro de red Cotagro; usar puerta Alcira si funciona.,"https://www.google.com/maps/search/?api=1&query=-33.118000,-64.322000",cotagroweb.com.ar/contacto
Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,B,Fontezuela Cereales,Acopio / cereales,02477 497135/37,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Consultar frecuencia de movimientos especiales.,"https://www.google.com/maps/search/?api=1&query=-33.123200,-64.345300",fontezuelacereales.com.ar
Río Cuarto / RN36 sur,Alcira Gigena,Alcira Gigena,C,3C Biogás S.A.,Energía / biogás,A relevar,A relevar,despacho / producción,"Despacho de estructuras, tanques, transformadores, piezas de ingeniería y equipos sobre plataforma 20 tn.",Prospecto técnico; validar contacto local en terreno.,"https://www.google.com/maps/search/?api=1&query=-32.757000,-64.332000",UNRC / investigación web
Río Cuarto / RN36 sur,Berrotarán,Berrotarán,C,Canteras/corralones locales,Áridos / materiales,A relevar,A relevar,planta / mantenimiento,Movimiento de equipos de cantera/planta; transporte de material suelto sujeto a confirmar unidad o esquema operativo.,Relevamiento presencial: la web no muestra nombres confiables.,"https://www.google.com/maps/search/?api=1&query=-32.452000,-64.384000",Relevamiento recomendado
Villa María / RP6,Hernando,Hernando,A,Cooperativa Agrícola La Vencedora,Acopio / agroinsumos / combustible,0353 4847133,OK,operaciones / entregas,"Entrega y descarga de módulos/containers con plataforma, malacate e hidrogrúa según maniobra.",Planta nueva 24.000 tn; pedir gerente Ariel Ferreyra.,"https://www.google.com/maps/search/?api=1&query=-32.426000,-63.733000",Facebook / LinkedIn La Vencedora
Villa María / RP6,Tío Pujio,Tío Pujio,A,ACA — Centro de Desarrollo Comercial Tío Pujio,Acopio gigante / agro,353 5622710 / 0353 4860518 / 0353 4860519,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Pedir Mario Peppino / responsable logística; no ir sin ficha.,"https://www.google.com/maps/search/?api=1&query=-32.288000,-63.356000",Instagram CDC / cooptiopujio.com
Villa María / RP6,Villa María,Villa María,A,Héctor A. Bertone S.A.,Acopio / logística granaria,A relevar,A relevar,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Pedir responsable de logística/acopio; teléfono a relevar.,"https://www.google.com/maps/search/?api=1&query=-32.389000,-63.251000",HAB / LinkedIn logística
Villa María / RP6,Villa María,Villa María,A,Industrias Cormetal S.A.,Metalmecánica / estructuras,0353 4610900 / 0353 6567355,OK,despacho / producción,"Despacho de estructuras, tanques, transformadores, piezas de ingeniería y equipos sobre plataforma 20 tn.",Pedir responsable de logística/despachos.,"https://www.google.com/maps/search/?api=1&query=-32.385796,-63.267403",guiademantenimiento.com / cormetal.com.ar
Villa María / RP6,Villa María,Villa María,A,Mayo Transformadores S.R.L.,Transformadores / metalmecánica,0353 4647606,OK,despacho / producción,"Despacho de estructuras, tanques, transformadores, piezas de ingeniería y equipos sobre plataforma 20 tn.",Seguro de carga + GPS como argumento fuerte.,"https://www.google.com/maps/search/?api=1&query=-32.423000,-63.205000",pilt.com.ar
Villa María / RP6,Villa María,Villa María,A,Salsiteco S.A.,Constructora / movimiento de suelo,0353 4524006 / 0353 5006023,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador, estructuras y materiales pesados; descarga o posicionamiento cuando aplique.",Muy buen encaje con obras viales; pedir jefe de obra.,"https://www.google.com/maps/search/?api=1&query=-32.412000,-63.236000",salsiteco.com.ar
Villa María / RP6,Almafuerte,Almafuerte,B,Cooperativa Agropecuaria Almafuerte,Acopio / semillas / agroinsumos,03571 471182,OK,operaciones / entregas,"Entrega y descarga de módulos/containers con plataforma, malacate e hidrogrúa según maniobra.",100.000 tn acopiadas; preguntar ampliaciones/mantenimiento.,"https://www.google.com/maps/search/?api=1&query=-32.192000,-64.255000",essapp.coop / Coop. Almafuerte
Villa María / RP6,Hernando,Hernando,B,Agrohernando,Acopio / granos / insumos,0353 4960418,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Empresa familiar 20 años; pedir responsable de operaciones.,"https://www.google.com/maps/search/?api=1&query=-32.428000,-63.730000",agrohernando.com.ar
Villa María / RP6,Hernando,Hernando,B,Industria Metal-Her,Implementos agrícolas / tolvas,0353 156568385 / 0353 4846509,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Muy buen encaje para entregas a clientes y ferias.,"https://www.google.com/maps/search/?api=1&query=-32.424000,-63.737000",Facebook Industria Metal-Her
Villa María / RP6,Tío Pujio,Tío Pujio,B,Metalúrgica Jor-Ba / Grupo Tío Pujio,Metalúrgica / extrusado soja,03573 402941,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Validar si operación está en Tío Pujio o Villa del Rosario.,"https://www.google.com/maps/search/?api=1&query=-32.290000,-63.352000",Facebook Metalúrgica Jor-Ba
Villa María / RP6,Villa María,Villa María,B,Carra Sanitarios,Materiales / sanitario / obra,0353 4125456,OK,responsable de logística/compras,Detectar el próximo movimiento pesado y convertirlo en cotización concreta.,Ubicado sobre corredor; preguntar fletes a clientes/obras.,"https://www.google.com/maps/search/?api=1&query=-32.421000,-63.232000",carrasanitarios.com.ar
Villa María / RP6,Villa María,Villa María,B,DM Constructora,Constructora,0353 4260498,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador, estructuras y materiales pesados; descarga o posicionamiento cuando aplique.",Pedir responsable de compras/obra.,"https://www.google.com/maps/search/?api=1&query=-32.408066,-63.245873",dmconstructora.com.ar
Villa María / RP6,Villa María,Villa María,B,Dipromas S.R.L.,Metalmecánica / PILT,0353 4296608,OK,despacho / producción,"Despacho de estructuras, tanques, transformadores, piezas de ingeniería y equipos sobre plataforma 20 tn.",Visita dentro del PILT; pedir compras/logística.,"https://www.google.com/maps/search/?api=1&query=-32.421000,-63.203000",pilt.com.ar
Villa María / RP6,Villa María,Villa María,B,Frigorífico La Pequeña S.R.L.,Alimenticia / frigorífico,0353 154197312,OK,despacho / producción,"Despacho de estructuras, tanques, transformadores, piezas de ingeniería y equipos sobre plataforma 20 tn.",No vender frío común; vender movimientos especiales.,"https://www.google.com/maps/search/?api=1&query=-32.420000,-63.209000",pilt.com.ar
Villa María / RP6,Villa María,Villa María,B,Ghio Construcciones,Constructora / desarrollos,0353 4016390,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador, estructuras y materiales pesados; descarga o posicionamiento cuando aplique.",Solicitar próximo traslado de obra.,"https://www.google.com/maps/search/?api=1&query=-32.415019,-63.237719",Instagram Ghio Construcciones
Villa María / RP6,Villa María,Villa María,B,S.A. Molinos Fénix,Molino / alimentos,0353 4533573,OK,mantenimiento / compras,"Traslados especiales de mantenimiento, repuestos pesados, mudanzas internas y cargas con seguro/GPS.",Preguntar por movimientos de maquinaria/planta.,"https://www.google.com/maps/search/?api=1&query=-32.410000,-63.246000",molinosfenix.com.ar
Villa María / RP6,Villa María,Villa María,B,Sarmiento Materiales,Corralón / materiales,0353 4610259 / 0353 4112139,OK,despacho / producción,"Despacho de estructuras, tanques, transformadores, piezas de ingeniería y equipos sobre plataforma 20 tn.",Cotizar reparto pesado fuera de zona o picos.,"https://www.google.com/maps/search/?api=1&query=-32.411372,-63.226831",sarmientomateriales / directorio
Villa María / RP6,Villa María,Villa María,B,Stainless Steel Manufacturers S.R.L.,Acero inoxidable / fabricación,0353 4792885,OK,despacho / producción,"Despacho de estructuras, tanques, transformadores, piezas de ingeniería y equipos sobre plataforma 20 tn.",Posicionar transporte seguro para piezas terminadas.,"https://www.google.com/maps/search/?api=1&query=-32.425000,-63.207000",pilt.com.ar
Villa María / RP6,Villa María,Villa María,B,Villa María Cereales,Acopio / agroinsumos,03535 656802,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",RN 9 km 553; consultar próximos movimientos.,"https://www.google.com/maps/search/?api=1&query=-32.386500,-63.260000",Facebook Villa María Cereales
Villa María / RP6,Hernando,Hernando,C,AgroServ S.R.L.,Concesionario maquinaria agrícola,A relevar,A relevar,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Concesionario Super Walter; relevar contacto directo.,"https://www.google.com/maps/search/?api=1&query=-32.429500,-63.734500",Instagram AgroServ
Villa María / RP6,Hernando,Hernando,C,Her.Agro Maquinarias,Maquinaria agrícola nueva/usada,3535 690587 (a confirmar),VER,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Entrar con cotización para próximos movimientos.,"https://www.google.com/maps/search/?api=1&query=-32.422000,-63.731000",Facebook Her.Agro
Villa María / RP6,Villa María,Villa María,C,San Borg Internacional / Laboratorios Weende,Laboratorio alimentos/agro,0353 4531453,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Visita solo si queda en ruta PILT.,"https://www.google.com/maps/search/?api=1&query=-32.412500,-63.247000",sanborginternacional.com.ar
Córdoba / RN36 norte,Alta Gracia,Alta Gracia,A,AG Viviendas Industrializadas,Módulos / viviendas industrializadas,3547 672399 / 3547 420854,OK,operaciones / entregas,"Entrega y descarga de módulos/containers con plataforma, malacate e hidrogrúa según maniobra.",Cada venta necesita logística: proponer proveedor regional.,"https://www.google.com/maps/search/?api=1&query=-31.655000,-64.420000",Facebook AG Viviendas
Córdoba / RN36 norte,Alta Gracia,Alta Gracia,A,Precons S.R.L.,Premoldeados / tanques / construcción,3547 430993,OK,despacho / producción,"Despacho de estructuras, tanques, transformadores, piezas de ingeniería y equipos sobre plataforma 20 tn.",Parque en expansión; ofrecer servicio a clientes finales.,"https://www.google.com/maps/search/?api=1&query=-31.662670,-64.414474",eldirectorio.co / preconssrl.com.ar
Córdoba / RN36 norte,Contacto remoto / Jesús María,Córdoba capital zona sur,A,AG GROUP Industria,Módulos / construcción industrializada,3525 513210,OK,operaciones / entregas,"Entrega y descarga de módulos/containers con plataforma, malacate e hidrogrúa según maniobra.","Aunque está en Jesús María, vende en Córdoba; ofrecer logística provincial.","https://www.google.com/maps/search/?api=1&query=-31.000000,-64.090000",aggroupindustria.com.ar
Córdoba / RN36 norte,Córdoba Sur-Oeste / canteras,Córdoba capital zona sur,A,Canteras Ruiz,Áridos / cantera,0351 5570618 / 0351 4524228 / 0351 155508346,OK,planta / mantenimiento,Movimiento de equipos de cantera/planta; transporte de material suelto sujeto a confirmar unidad o esquema operativo.,Servicio de áridos sólo si se confirma volcador/tercerización.,"https://www.google.com/maps/search/?api=1&query=-31.475000,-64.235000",canterasruiz.com
Córdoba / RN36 norte,Córdoba Oeste / Av. Colón,Córdoba capital zona sur,A,Corralón Mis Ladrillos,Corralón mayorista,0351 3705858,OK,responsable de logística/compras,Detectar el próximo movimiento pesado y convertirlo en cotización concreta.,Entrada rápida a mercado capitalino; ofrecer reparto pesado regional.,"https://www.google.com/maps/search/?api=1&query=-31.396774,-64.251905",Vuelta Canela / directorio
Córdoba / RN36 norte,Córdoba Sur / RN36-Vélez Sarsfield,Córdoba capital zona sur,A,Hormi Block S.A.,Hormigón elaborado,0351 4939510 / 0351 4945800,OK,operaciones / planta,"Traslado de equipos de planta, bombas, premoldeados y apoyo a picos de obra.",Av. Vélez Sarsfield 5801; entrada directa por corredor.,"https://www.google.com/maps/search/?api=1&query=-31.481687,-64.203118",InfoNegocios / Hormi Block
Córdoba / RN36 norte,Córdoba Norte / Monseñor Pablo Cabrera,Córdoba capital zona sur,A,Lucy’s House / Rental,Módulos habitacionales,0351 2077113,OK,operaciones / entregas,"Entrega y descarga de módulos/containers con plataforma, malacate e hidrogrúa según maniobra.",Muy buen encaje para planchada + malacate.,"https://www.google.com/maps/search/?api=1&query=-31.368536,-64.205299",Instagram Lucy’s House
Córdoba / RN36 norte,Córdoba Norte-Oeste / Villa Belgrano,Córdoba capital zona sur,A,MegaContainers,Venta/alquiler de containers,0351 5179179,OK,operaciones / entregas,"Entrega y descarga de módulos/containers con plataforma, malacate e hidrogrúa según maniobra.",Proveedor natural: cada container vendido necesita logística.,"https://www.google.com/maps/search/?api=1&query=-31.350332,-64.254449",megacontainers.com.ar
Córdoba / RN36 norte,Malagueño,Malagueño,A,Grupo Calidra / Cal Malagueño,Cal / minería / áridos,A relevar,A relevar,planta / mantenimiento,Movimiento de equipos de cantera/planta; transporte de material suelto sujeto a confirmar unidad o esquema operativo.,Prospecto grande; entrar por mantenimiento/proveedores.,"https://www.google.com/maps/search/?api=1&query=-31.467000,-64.358000",calidra.com.ar / investigación web
