name,kind,corridor,micro_zone,city,priority,sector,phone,lat,lon,google_maps,geocode_quality,fit,hook,source
AGD — Planta de Acopio Corralito,prospect,Río Cuarto / RN36 sur,Corralito,Corralito,A,Acopio agroindustrial,03571 492144 / 492172 / 492228,-32.0225,-64.191,"https://www.google.com/maps/search/?api=1&query=-32.022500,-64.191000",address/zone approx,"Maquinaria agrícola, silos, balanzas, equipos de planta.",Acopio AGD; pedir operaciones/mantenimiento.,agd.com.ar/es/corralito-acopio
Trisoil S.A.,prospect,Río Cuarto / RN36 sur,Corralito,Corralito,B,Alimentos balanceados / aceite,03571 502525 / 502526,-32.03,-64.183,"https://www.google.com/maps/search/?api=1&query=-32.030000,-64.183000",address/zone approx,Cargas industriales y equipos de planta.,Ofrecer fletes de repuestos/equipos y cargas especiales.,trisoil.com.ar
CAGLE — Cooperativa Agrícola de Elena,prospect,Río Cuarto / RN36 sur,Elena,Elena,A,Acopio / agro / estación de servicios,3584 881118,-32.569649,-64.392432,"https://www.google.com/maps/search/?api=1&query=-32.569649,-64.392432",address/zone approx,"Nueva planta/acopio, maquinaria agro, módulos, materiales.",Obras recientes + nueva planta futura: transporte de equipos.,cagle.com.ar
Gliestore S.A.,prospect,Río Cuarto / RN36 sur,Elena,Elena,B,Soja / alimentos / exportación,0358 4641548 / 9358 4024598,-32.5718,-64.39,"https://www.google.com/maps/search/?api=1&query=-32.571800,-64.390000",address/zone approx,"Cargas industriales, maquinaria, repuestos y embalajes pesados.",Empresa exportadora; preguntar por logística de equipos y planta.,Exportadores de Córdoba
Parque Industrial y Logístico Las Higueras,prospect,Río Cuarto / RN36 sur,Las Higueras,Las Higueras,B,Radicaciones / logística,A relevar vía municipio/parque,-33.093,-64.288,"https://www.google.com/maps/search/?api=1&query=-33.093000,-64.288000",address/zone approx,"Mudanzas industriales, estructuras, maquinaria de nuevas plantas.",Pedir listado de empresas radicadas y obras en apertura de calles.,argentina.gob.ar / La Voz
AFEMA S.A.,prospect,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,A,Constructora vial,0351 7371862,-33.105,-64.335,"https://www.google.com/maps/search/?api=1&query=-33.105000,-64.335000",address/zone approx,Movimiento urgente de equipos viales por Circunvalación.,Obras viales activas; pedir jefe de obra/logística.,Facebook AFEMA
BIDESA Obras Viales y Civiles,prospect,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,A,Obra vial / UTE,A relevar en obrador,-33.108,-64.327,"https://www.google.com/maps/search/?api=1&query=-33.108000,-64.327000",address/zone approx,"Transporte de máquinas, módulos de obrador, estructuras.","Si está en obra, entrar por obrador; teléfono no público.",Construar / Boletín Oficial
Canteras Bringas,prospect,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,A,Áridos / hormigón / obra pública,0358 154906010,-33.145,-64.425,"https://www.google.com/maps/search/?api=1&query=-33.145000,-64.425000",address/zone approx,"Transporte de máquinas, plantas móviles, áridos y premoldeados.",Pegada a Circunvalación: muy caliente para obra vial.,gurugo.com.ar / canterasbringas.ar
CasaContainer Río Cuarto,prospect,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,A,Módulos / containers,0358 4310288,-33.118737,-64.382102,"https://www.google.com/maps/search/?api=1&query=-33.118737,-64.382102",address/zone approx,Transporte y descarga de módulos a obra/campo.,Ellos venden “te lo llevamos”; PRESOL puede ser proveedor logístico.,Facebook CasaContainer
Construcciones Metálicas El Colono S.A.,prospect,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,A,Estructuras metálicas / silos,0358 4628525,-33.15169,-64.357888,"https://www.google.com/maps/search/?api=1&query=-33.151690,-64.357888",address/zone approx,"Galpones, silos aéreos y estructuras: planchada + hidrogrúa.",Uno de los mejores encajes; pedir despacho/montaje.,elcolonosa.com.ar / Facebook
Dexco Constructora,prospect,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,A,Constructora local,0358 4640139 / 0358 154869634,-33.112715,-64.369622,"https://www.google.com/maps/search/?api=1&query=-33.112715,-64.369622",address/zone approx,"Materiales, maquinaria, módulos, movimiento entre obras.",Tiene obras activas; pedir compras/operaciones.,constructoradexco.com/contacto
Luciano S.A.,prospect,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,A,Obra vial / UTE,A relevar,-33.111,-64.329,"https://www.google.com/maps/search/?api=1&query=-33.111000,-64.329000",address/zone approx,Equipos viales y logística de obra.,Oferente/contratista; buscar obrador primero.,Construar / licitaciones
Marinelli S.A.,prospect,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,A,Áridos / hormigón / obras,0358 4647058,-33.102771,-64.336058,"https://www.google.com/maps/search/?api=1&query=-33.102771,-64.336058",address/zone approx,"Cantera, plantas, equipos, apoyo a obra vial.",Tiene cantera y flota; ofrecer respaldo/picos/traslados especiales.,marinellisa.store
Paolini Hnos S.A.,prospect,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,A,Obra vial / constructora nacional,011 48779600,-33.114,-64.331,"https://www.google.com/maps/search/?api=1&query=-33.114000,-64.331000",address/zone approx,Transporte de equipos y materiales en obra pública.,Teléfono central; mejor entrar por obrador local.,paolini.com.ar
Soardo Construcciones,prospect,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,A,Constructora local,0358 4166315,-33.119,-64.351,"https://www.google.com/maps/search/?api=1&query=-33.119000,-64.351000",address/zone approx,"Materiales, equipos, módulos para obras.",Pedir responsable de obra; cotizar un próximo traslado.,soardoconstrucciones.site
Agrorio Maquinarias,prospect,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,B,Maquinaria agrícola,03586 093110,-33.1255,-64.382,"https://www.google.com/maps/search/?api=1&query=-33.125500,-64.382000",address/zone approx,Traslados de maquinaria “a cualquier punto del país”.,Ofrecer PRESOL como transportista regional confiable.,Facebook AgroRío
Capello S.A.,prospect,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,B,Constructora / corralón,0358 4645929,-33.1215,-64.3505,"https://www.google.com/maps/search/?api=1&query=-33.121500,-64.350500",address/zone approx,Materiales y equipos para obra.,Vender apoyo logístico para obras y compras pesadas.,guia.deriocuarto.ar
Cotagro — Río Cuarto,prospect,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,B,Agro / fertilizantes / acopio,0358 4933333,-33.118,-64.322,"https://www.google.com/maps/search/?api=1&query=-33.118000,-64.322000",address/zone approx,"Maquinaria, insumos pesados, equipos de planta.",Punto dentro de red Cotagro; usar puerta Alcira si funciona.,cotagroweb.com.ar/contacto
Fontezuela Cereales,prospect,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,B,Acopio / cereales,02477 497135/37,-33.1232,-64.3453,"https://www.google.com/maps/search/?api=1&query=-33.123200,-64.345300",city offset approx,"Equipos de planta, maquinaria, repuestos, logística agro.",Consultar frecuencia de movimientos especiales.,fontezuelacereales.com.ar
Cooperativa Agropecuaria Almafuerte,prospect,Villa María / RP6,Almafuerte,Almafuerte,B,Acopio / semillas / agroinsumos,03571 471182,-32.192,-64.255,"https://www.google.com/maps/search/?api=1&query=-32.192000,-64.255000",address/zone approx,"Nueva planta, silos, maquinaria, módulos y materiales.",100.000 tn acopiadas; preguntar ampliaciones/mantenimiento.,essapp.coop / Coop. Almafuerte
Cooperativa Agrícola La Vencedora,prospect,Villa María / RP6,Hernando,Hernando,A,Acopio / agroinsumos / combustible,0353 4847133,-32.426,-63.733,"https://www.google.com/maps/search/?api=1&query=-32.426000,-63.733000",address/zone approx,"Silos, fertilizantes, maquinaria agro, módulos y estructuras.",Planta nueva 24.000 tn; pedir gerente Ariel Ferreyra.,Facebook / LinkedIn La Vencedora
Agrohernando,prospect,Villa María / RP6,Hernando,Hernando,B,Acopio / granos / insumos,0353 4960418,-32.428,-63.73,"https://www.google.com/maps/search/?api=1&query=-32.428000,-63.730000",address/zone approx,"Maquinaria agrícola, cargas pesadas, agroinsumos.",Empresa familiar 20 años; pedir responsable de operaciones.,agrohernando.com.ar
Industria Metal-Her,prospect,Villa María / RP6,Hernando,Hernando,B,Implementos agrícolas / tolvas,0353 156568385 / 0353 4846509,-32.424,-63.737,"https://www.google.com/maps/search/?api=1&query=-32.424000,-63.737000",address/zone approx,"Tolvas, acoplados, cisternas; planchada + hidrogrúa.",Muy buen encaje para entregas a clientes y ferias.,Facebook Industria Metal-Her
AgroServ S.R.L.,prospect,Villa María / RP6,Hernando,Hernando,C,Concesionario maquinaria agrícola,A relevar,-32.4295,-63.7345,"https://www.google.com/maps/search/?api=1&query=-32.429500,-63.734500",address/zone approx,Entrega/retiro de máquinas; plataforma y malacate.,Concesionario Super Walter; relevar contacto directo.,Instagram AgroServ
Her.Agro Maquinarias,prospect,Villa María / RP6,Hernando,Hernando,C,Maquinaria agrícola nueva/usada,3535 690587 (a confirmar),-32.422,-63.731,"https://www.google.com/maps/search/?api=1&query=-32.422000,-63.731000",address/zone approx,Traslados de maquinaria rural.,Entrar con cotización para próximos movimientos.,Facebook Her.Agro
ACA — Centro de Desarrollo Comercial Tío Pujio,prospect,Villa María / RP6,Tío Pujio,Tío Pujio,A,Acopio gigante / agro,353 5622710 / 0353 4860518 / 0353 4860519,-32.288,-63.356,"https://www.google.com/maps/search/?api=1&query=-32.288000,-63.356000",address/zone approx,"Silos, equipos de planta, 120 camiones/día en cosecha.",Pedir Mario Peppino / responsable logística; no ir sin ficha.,Instagram CDC / cooptiopujio.com
Metalúrgica Jor-Ba / Grupo Tío Pujio,prospect,Villa María / RP6,Tío Pujio,Tío Pujio,B,Metalúrgica / extrusado soja,03573 402941,-32.29,-63.352,"https://www.google.com/maps/search/?api=1&query=-32.290000,-63.352000",address/zone approx,"Equipos de planta, estructuras, repuestos pesados.",Validar si operación está en Tío Pujio o Villa del Rosario.,Facebook Metalúrgica Jor-Ba
Héctor A. Bertone S.A.,prospect,Villa María / RP6,Villa María,Villa María,A,Acopio / logística granaria,A relevar,-32.389,-63.251,"https://www.google.com/maps/search/?api=1&query=-32.389000,-63.251000",address/zone approx,"Acopio 10.000 tn, 40 camiones/día: equipos de planta y agro.",Pedir responsable de logística/acopio; teléfono a relevar.,HAB / LinkedIn logística
Industrias Cormetal S.A.,prospect,Villa María / RP6,Villa María,Villa María,A,Metalmecánica / estructuras,0353 4610900 / 0353 6567355,-32.385796,-63.267403,"https://www.google.com/maps/search/?api=1&query=-32.385796,-63.267403",address/zone approx,"Estructuras, piezas, equipos; plataforma 20 tn.",Pedir responsable de logística/despachos.,guiademantenimiento.com / cormetal.com.ar
Mayo Transformadores S.R.L.,prospect,Villa María / RP6,Villa María,Villa María,A,Transformadores / metalmecánica,0353 4647606,-32.423,-63.205,"https://www.google.com/maps/search/?api=1&query=-32.423000,-63.205000",address/zone approx,Transformadores y equipos pesados requieren transporte seguro.,Seguro de carga + GPS como argumento fuerte.,pilt.com.ar
Salsiteco S.A.,prospect,Villa María / RP6,Villa María,Villa María,A,Constructora / movimiento de suelo,0353 4524006 / 0353 5006023,-32.412,-63.236,"https://www.google.com/maps/search/?api=1&query=-32.412000,-63.236000",address/zone approx,"Equipos viales, retro, motoniveladora, compactadores, módulos.",Muy buen encaje con obras viales; pedir jefe de obra.,salsiteco.com.ar
Carra Sanitarios,prospect,Villa María / RP6,Villa María,Villa María,B,Materiales / sanitario / obra,0353 4125456,-32.421,-63.232,"https://www.google.com/maps/search/?api=1&query=-32.421000,-63.232000",address/zone approx,Cargas generales y materiales de obra; posible reparto pesado.,Ubicado sobre corredor; preguntar fletes a clientes/obras.,carrasanitarios.com.ar
DM Constructora,prospect,Villa María / RP6,Villa María,Villa María,B,Constructora,0353 4260498,-32.408066,-63.245873,"https://www.google.com/maps/search/?api=1&query=-32.408066,-63.245873",address/zone approx,"Materiales, equipos y módulos para obra.",Pedir responsable de compras/obra.,dmconstructora.com.ar
Dipromas S.R.L.,prospect,Villa María / RP6,Villa María,Villa María,B,Metalmecánica / PILT,0353 4296608,-32.421,-63.203,"https://www.google.com/maps/search/?api=1&query=-32.421000,-63.203000",address/zone approx,Equipos y piezas para despacho industrial.,Visita dentro del PILT; pedir compras/logística.,pilt.com.ar
Frigorífico La Pequeña S.R.L.,prospect,Villa María / RP6,Villa María,Villa María,B,Alimenticia / frigorífico,0353 154197312,-32.42,-63.209,"https://www.google.com/maps/search/?api=1&query=-32.420000,-63.209000",address/zone approx,"Equipos de planta, mantenimiento, estructuras.",No vender frío común; vender movimientos especiales.,pilt.com.ar
Ghio Construcciones,prospect,Villa María / RP6,Villa María,Villa María,B,Constructora / desarrollos,0353 4016390,-32.415019,-63.237719,"https://www.google.com/maps/search/?api=1&query=-32.415019,-63.237719",address/zone approx,"Materiales, módulos, maquinaria chica.",Solicitar próximo traslado de obra.,Instagram Ghio Construcciones
S.A. Molinos Fénix,prospect,Villa María / RP6,Villa María,Villa María,B,Molino / alimentos,0353 4533573,-32.41,-63.246,"https://www.google.com/maps/search/?api=1&query=-32.410000,-63.246000",address/zone approx,"Equipos, repuestos, mantenimiento industrial.",Preguntar por movimientos de maquinaria/planta.,molinosfenix.com.ar
Sarmiento Materiales,prospect,Villa María / RP6,Villa María,Villa María,B,Corralón / materiales,0353 4610259 / 0353 4112139,-32.411372,-63.226831,"https://www.google.com/maps/search/?api=1&query=-32.411372,-63.226831",address/zone approx,"Materiales, pallets, hierro, estructuras livianas.",Cotizar reparto pesado fuera de zona o picos.,sarmientomateriales / directorio
Stainless Steel Manufacturers S.R.L.,prospect,Villa María / RP6,Villa María,Villa María,B,Acero inoxidable / fabricación,0353 4792885,-32.425,-63.207,"https://www.google.com/maps/search/?api=1&query=-32.425000,-63.207000",address/zone approx,"Equipos inox, estructuras, piezas de ingeniería.",Posicionar transporte seguro para piezas terminadas.,pilt.com.ar
Villa María Cereales,prospect,Villa María / RP6,Villa María,Villa María,B,Acopio / agroinsumos,03535 656802,-32.3865,-63.26,"https://www.google.com/maps/search/?api=1&query=-32.386500,-63.260000",address/zone approx,"Equipos de planta, maquinarias y cargas agro.",RN 9 km 553; consultar próximos movimientos.,Facebook Villa María Cereales
San Borg Internacional / Laboratorios Weende,prospect,Villa María / RP6,Villa María,Villa María,C,Laboratorio alimentos/agro,0353 4531453,-32.4125,-63.247,"https://www.google.com/maps/search/?api=1&query=-32.412500,-63.247000",address/zone approx,Cargas industriales menores; equipos de planta.,Visita solo si queda en ruta PILT.,sanborginternacional.com.ar
AG Viviendas Industrializadas,prospect,Córdoba / RN36 norte,Alta Gracia,Alta Gracia,A,Módulos / viviendas industrializadas,3547 672399 / 3547 420854,-31.655,-64.42,"https://www.google.com/maps/search/?api=1&query=-31.655000,-64.420000",address/zone approx,Transporte de módulos; carga-descarga con malacate/hidrogrúa.,Cada venta necesita logística: proponer proveedor regional.,Facebook AG Viviendas
Precons S.R.L.,prospect,Córdoba / RN36 norte,Alta Gracia,Alta Gracia,A,Premoldeados / tanques / construcción,3547 430993,-31.66267,-64.414474,"https://www.google.com/maps/search/?api=1&query=-31.662670,-64.414474",address/zone approx,Premoldeados y tanques: transporte con descarga segura.,Parque en expansión; ofrecer servicio a clientes finales.,eldirectorio.co / preconssrl.com.ar
Grupo Buglione,prospect,Córdoba / RN36 norte,Alta Gracia,Alta Gracia,B,Autopartes / remanufactura,0351 6512408 / 0351 3271171 / 03547 432121,-31.66,-64.43,"https://www.google.com/maps/search/?api=1&query=-31.660000,-64.430000",address/zone approx,"Equipos industriales, repuestos pesados, traslados de planta.",Parque N°53; entrar por logística/compras.,Facebook Grupo Buglione
Habitaciones Calificadas,prospect,Córdoba / RN36 norte,Alta Gracia,Alta Gracia,B,Módulos habitacionales,A relevar,-31.65,-64.421,"https://www.google.com/maps/search/?api=1&query=-31.650000,-64.421000",address/zone approx,Transporte de módulos y obradores.,Teléfono no confiable en web; relevar en visita/parque.,Informe de mercado / parque Alta Gracia
Mattsay Steel Frame,prospect,Córdoba / RN36 norte,Alta Gracia,Alta Gracia,B,Casas modulares / steel frame,3547 477530,-31.653,-64.428,"https://www.google.com/maps/search/?api=1&query=-31.653000,-64.428000",address/zone approx,Módulos o paneles estructurales a obra.,Instalación en lote; preguntar si tercerizan traslados.,mattsay.com
Boetto y Buttigliengo S.A.,prospect,Córdoba / RN36 norte,Córdoba capital,Córdoba capital,B,Constructora,0351 4653272,-31.449963,-64.252114,"https://www.google.com/maps/search/?api=1&query=-31.449963,-64.252114",address/zone approx,"Materiales, equipos, módulos para obras.",Prospecto grande; mejor por obra/encargado que por administración.,BNamericas / bbcsa.com.ar
CABIAL Empresa Constructora,prospect,Córdoba / RN36 norte,Córdoba capital,Córdoba capital,B,Constructora,0351 4822855 / 0351 4658599,-31.438,-64.205,"https://www.google.com/maps/search/?api=1&query=-31.438000,-64.205000",address/zone approx,"Materiales, equipos y apoyo a obra.","Cotizar traslado concreto, no presentación genérica.",arempresas.com
IngaV Constructora,prospect,Córdoba / RN36 norte,Córdoba capital,Córdoba capital,B,Constructora,0351 5890684 / 0351 5579222 (verificar),-31.413163,-64.17008,"https://www.google.com/maps/search/?api=1&query=-31.413163,-64.170080",address/zone approx,"Materiales, equipos y módulos.",Contacto directo WhatsApp; pedir próximo traslado.,ingavconstructora.com.ar
AG GROUP Industria,prospect,Córdoba / RN36 norte,Contacto remoto / Jesús María,Córdoba capital zona sur,A,Módulos / construcción industrializada,3525 513210,-31.0,-64.09,"https://www.google.com/maps/search/?api=1&query=-31.000000,-64.090000",address/zone approx,"Módulos habitacionales, oficinas y estructuras.","Aunque está en Jesús María, vende en Córdoba; ofrecer logística provincial.",aggroupindustria.com.ar
Canteras Ruiz,prospect,Córdoba / RN36 norte,Córdoba Sur-Oeste / canteras,Córdoba capital zona sur,A,Áridos / cantera,0351 5570618 / 0351 4524228 / 0351 155508346,-31.475,-64.235,"https://www.google.com/maps/search/?api=1&query=-31.475000,-64.235000",address/zone approx,"Áridos, maquinaria de cantera, movimientos de equipo.",Servicio de áridos sólo si se confirma volcador/tercerización.,canterasruiz.com
Corralón Mis Ladrillos,prospect,Córdoba / RN36 norte,Córdoba Oeste / Av. Colón,Córdoba capital zona sur,A,Corralón mayorista,0351 3705858,-31.396774,-64.251905,"https://www.google.com/maps/search/?api=1&query=-31.396774,-64.251905",address/zone approx,"Materiales de obra, pallets, hierro, cargas generales.",Entrada rápida a mercado capitalino; ofrecer reparto pesado regional.,Vuelta Canela / directorio
Hormi Block S.A.,prospect,Córdoba / RN36 norte,Córdoba Sur / RN36-Vélez Sarsfield,Córdoba capital zona sur,A,Hormigón elaborado,0351 4939510 / 0351 4945800,-31.481687,-64.203118,"https://www.google.com/maps/search/?api=1&query=-31.481687,-64.203118",address/zone approx,"Traslado de equipos, plantas, apoyo a obra y materiales.",Av. Vélez Sarsfield 5801; entrada directa por corredor.,InfoNegocios / Hormi Block
Lucy’s House / Rental,prospect,Córdoba / RN36 norte,Córdoba Norte / Monseñor Pablo Cabrera,Córdoba capital zona sur,A,Módulos habitacionales,0351 2077113,-31.368536,-64.205299,"https://www.google.com/maps/search/?api=1&query=-31.368536,-64.205299",address/zone approx,Transporte y descarga de módulos.,Muy buen encaje para planchada + malacate.,Instagram Lucy’s House
MegaContainers,prospect,Córdoba / RN36 norte,Córdoba Norte-Oeste / Villa Belgrano,Córdoba capital zona sur,A,Venta/alquiler de containers,0351 5179179,-31.350332,-64.254449,"https://www.google.com/maps/search/?api=1&query=-31.350332,-64.254449",address/zone approx,Transporte de containers y módulos a obra/campo.,Proveedor natural: cada container vendido necesita logística.,megacontainers.com.ar
