id,estado_contacto,corridor,micro_zone,city,priority,score_operativo,name,sector,segmento_comercial,phone,phone_quality,telefono_principal_tel,tel_links,ask_for,need_probable,offer,hook,accion_sugerida,dato_pendiente,google_maps,source,source_url,evidencia,calidad_dato,origen_registro,resultado,fecha_visita,proximo_paso,notas_campo,servicios_presol_a_ofrecer,rubro_foco_enriquecimiento,ciudad_foco_solicitada,prioridad_visita_sugerida,observacion_servicio_nuevo
PRESOL-010,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,B,60,Baudino Hnos.,Estructuras metálicas,Metalmecánica / despacho,03571 15600693 / 3571 457279 / 3571 458732,VER,tel:+5493571600693,tel:+5493571600693 | tel:+543571457279 | tel:+543571458732,despacho / producción,"Despacho de implementos, agropartes, tolvas, estructuras, piezas industriales y maquinaria sobre plataforma.","Plataforma 20 tn + hidrogrúa + percha para pallets para implementos, agropartes y piezas industriales.",Estructuras metálicas locales; buen encaje para transporte de piezas y montaje.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Baudino+Hnos.+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Web pública Baudino Hnos. / resultado de búsqueda,https://baudinohnos.wixsite.com/baudinohnos,Resultado público indica dirección y teléfonos; verificar vigencia antes de visita.,Media,Nuevo enriquecimiento 2026-09-02,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,otro rubro factible,Sí,Media,
PRESOL-011,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,B,50,Bravo Gustavo y Guillermo,Premoldeados,Hormigón / áridos / premoldeados,A relevar vía parque,A relevar,,,planta / despacho,"Movimiento de áridos, premoldeados, equipos de planta/cantera, moldes, bolsones y materiales de obra.","Transporte de áridos/materiales, premoldeados y equipos; hidrogrúa para carga/descarga y percha para pallets.",Premoldeados locales: potencial de transporte de piezas y reparto pesado regional.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Bravo+Gustavo+y+Guillermo+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero,https://parqueindustrial.riotercero.gob.ar/empresas,Listado del parque indica fabricación de premoldeados.,Media,Nuevo enriquecimiento 2026-09-02,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,áridos/construcción/premoldeados,Sí,Media,
PRESOL-012,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,B,60,Charrúa Implementos Agrícolas,Implementos agrícolas,Industria / mantenimiento,+54 9 3571 61 9149 / +54 9 3571 31 0086,OK,tel:+5493571619149,tel:+5493571619149 | tel:+5493571310086,responsable de acopio / mantenimiento,"Despacho de implementos, agropartes, tolvas, estructuras, piezas industriales y maquinaria sobre plataforma.","Plataforma 20 tn + hidrogrúa + percha para pallets para implementos, agropartes y piezas industriales.",Pedir frecuencia de entregas a concesionarios/campos.,Visita o llamada de validación; pedir próximo traslado concreto.,Preguntar por despachos de barre rastrojos/cuerpos de siembra y piezas palletizadas.,"https://www.google.com/maps/search/?api=1&query=-32.168609,-64.118792",Web propia Charrúa Implementos Agrícolas,https://charruaimplementosagricolas.com.ar,"Sitio propio: Catamarca 2167, Parque Industrial Río Tercero; teléfonos +54 9 3571 61-9149 / 31-0086; implementos agrícolas.",Media,Base curada PDF dirección | Actualizado zonas priorizadas 2026-09,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,fabricante/servicio maquinaria agrícola,Sí,Alta,
PRESOL-013,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,B,50,Construcciones Sermanter S.R.L.,"Construcción, montaje y mantenimiento",Metalmecánica / despacho,A relevar vía parque,A relevar,,,jefe de obra / mantenimiento,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Traslados especiales con plataforma, hidrogrúa, percha para pallets y trazabilidad GPS.","Constructor/montajista local: puede demandar traslado de equipos, estructuras y materiales pesados.","Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Construcciones+Sermanter+S.R.L.+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero,https://parqueindustrial.riotercero.gob.ar/empresas,"Empresa listada en Parque Industrial como construcción, montaje y mantenimiento.",Media,Nuevo enriquecimiento 2026-09-02,,,,,plataforma | hidrogrúa | percha para pallets,otro rubro factible,Sí,Media,
PRESOL-014,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,B,50,Fabri-Mec,Tornería / hoyadoras hidráulicas para grúas y minicargadoras,Industria / mantenimiento,03571 412302 / 03571 579685,OK,tel:+543571412302,tel:+543571412302 | tel:+543571579685,Marcelo Fabián Chalpe / producción / despacho,"Despacho de implementos, agropartes, tolvas, estructuras, piezas industriales y maquinaria sobre plataforma.","Plataforma 20 tn + hidrogrúa + percha para pallets para implementos, agropartes y piezas industriales.",Fabrica implementos hidráulicos vinculados a grúas/minicargadoras; probable movimiento de piezas/equipos.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Validar si despacha hoyadoras completas o piezas; encaje especial con hidrogrúa.,https://www.google.com/maps/search/?api=1&query=Fabri-Mec+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero,https://parqueindustrial.riotercero.gob.ar/empresa/Fabri-Mec,"Ficha del parque: hoyadoras hidráulicas adaptables a grúas, minicargadoras y tractores; teléfonos 03571412302 / 03571579685.",Media,Nuevo enriquecimiento 2026-09-02 | Actualizado zonas priorizadas 2026-09,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,fabricante/servicio maquinaria agrícola,Sí,Alta,
PRESOL-015,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,B,50,Fábrica Militar Río Tercero,Industria estatal / metalmecánica pesada,Metalmecánica / despacho,A relevar,A relevar,,,despacho / producción,"Despacho de implementos, agropartes, tolvas, estructuras, piezas industriales y maquinaria sobre plataforma.","Plataforma 20 tn + hidrogrúa + percha para pallets para implementos, agropartes y piezas industriales.",Entrar por proveedores/subcontratistas antes que compra directa estatal.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.181966,-64.113216",Fabricaciones Militares / informes previos,,Registro curado en documento de dirección PRESOL 2026-09.,Media,Base curada PDF dirección,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,otro rubro factible,Sí,Media,
PRESOL-016,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,B,60,HIDROSERVIS,Cilindros hidráulicos,Industria / mantenimiento,Portería parque: 03571 565662,VER,tel:+543571565662,tel:+543571565662,responsable de logística/compras,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Traslados especiales con plataforma, hidrogrúa, percha para pallets y trazabilidad GPS.",Ofrecer servicio de retiro/entrega de equipos pesados.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.181800,-64.104800",Parque Industrial Río Tercero,,Registro curado en documento de dirección PRESOL 2026-09.,Media,Base curada PDF dirección,,,,,plataforma | hidrogrúa | percha para pallets,otro rubro factible,Sí,Media,
PRESOL-017,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,B,75,Hidrobull,Accesorios para minicargadoras,Industria / mantenimiento,03571 549612,OK,tel:+543571549612,tel:+543571549612,responsable de logística/compras,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Traslados especiales con plataforma, hidrogrúa, percha para pallets y trazabilidad GPS.",Preguntar si entregan accesorios con terceros.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.171500,-64.116500",Facebook Hidrobull,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,plataforma | hidrogrúa | percha para pallets,otro rubro factible,Sí,Alta,
PRESOL-018,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,B,60,Hormilas S.A.,Hormigón elaborado,Hormigón / áridos / premoldeados,03571 573231 (a confirmar),VER,tel:+543571573231,tel:+543571573231,operaciones / planta,"Movimiento de áridos, premoldeados, equipos de planta/cantera, moldes, bolsones y materiales de obra.","Transporte de áridos/materiales, premoldeados y equipos; hidrogrúa para carga/descarga y percha para pallets.",Visita breve: detectar si tercerizan fletes de planta.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.163876,-64.106999",Parque Industrial Río Tercero / búsqueda web,,Registro curado en documento de dirección PRESOL 2026-09.,Media,Base curada PDF dirección,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,áridos/construcción/premoldeados,Sí,Media,"Para áridos, validar modalidad de carga/descarga y tipo de unidad requerida antes de cotizar."
PRESOL-119,Pendiente,Base Río Tercero,Río Tercero / piletas y PRFV,Río Tercero,B,81,Indusplast Río Tercero,Piletas de fibra / plástico reforzado,Piletas / PRFV / plástico reforzado,+54 3571 57-5556,VER,tel:+543571575556,tel:+543571575556,ventas / dueño,"Retiro, traslado y descarga de piletas/fibra o piezas voluminosas livianas, con cuidado de maniobra.",Plataforma + hidrogrúa para trasladar y descargar piletas/piezas PRFV; coordinar maniobra sin golpes.,Fabricación/venta de piscinas de fibra; encaje para plataforma e hidrogrúa en temporada.,Verificar teléfono por llamado corto y preguntar por entregas a clientes finales.,Confirmar dirección operativa y si mueve cascos completos.,https://www.google.com/maps/search/?api=1&query=Indusplast+R%C3%ADo+Tercero+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Facebook público / resultado de búsqueda,https://www.facebook.com/indusplastrio3?locale=es_LA,Resultado público informa Indusplast Río Tercero y contacto +54 3571 57-5556; rubro piscinas de fibra.,Media,Nuevo enriquecimiento zonas priorizadas 2026-09,,,,,plataforma para piletas/fibra | hidrogrúa para descarga/posicionamiento,piletas/plástico/PRFV,Sí,Alta,
PRESOL-120,Pendiente,Base Río Tercero,Parque Industrial / PRFV,Río Tercero,B,85,J.A.F. Plásticos Reforzados,Plástico reforzado con fibra de vidrio / PRFV / piezas industriales y piletas,Piletas / PRFV / plástico reforzado,3571 533624 / 3571 579801 / portería parque 03571 565662,OK,tel:+543571533624,tel:+543571533624 | tel:+543571579801 | tel:+543571565662,producción / logística,"Retiro, traslado y descarga de piletas/fibra o piezas voluminosas livianas, con cuidado de maniobra.",Plataforma + hidrogrúa para trasladar y descargar piletas/piezas PRFV; coordinar maniobra sin golpes.,"PRFV con aplicaciones industriales, tanques, piletones y piletas; piezas voluminosas de bajo peso con necesidad de cuidado en maniobra.",Pedir por producción/logística y consultar si tercerizan traslados de piezas PRFV o entregas especiales.,Confirmar punto operativo: ficha del parque Río Tercero y web con domicilio en Almafuerte.,https://www.google.com/maps/search/?api=1&query=J.A.F.+Pl%C3%A1sticos+Reforzados+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Web propia + Parque Industrial Río Tercero,https://jafplasticosreforzados.com,"Web informa PRFV, piletas/piezas, transporte/logística propia y teléfonos 3571 533624 / 3571 579801; ficha parque lista J.A.F. Plásticos Reforzados.",Alta,Nuevo enriquecimiento zonas priorizadas 2026-09,,,,,plataforma para piletas/fibra | hidrogrúa para descarga/posicionamiento,piletas/plástico/PRFV,Sí,Alta,
PRESOL-019,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,B,50,LiftingMach S.A.,Autoelevadores / maquinaria industrial,Industria / mantenimiento,A relevar vía parque,A relevar,,,despacho / producción,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Traslados especiales con plataforma, hidrogrúa, percha para pallets y trazabilidad GPS.",Fabricación de autoelevadores vinculada a Metalúrgica Río Tercero / LiuGong; posible movimiento de equipos.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=LiftingMach+S.A.+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero / Maquinac,https://parqueindustrial.riotercero.gob.ar/empresas,Listado de empresas del Parque Industrial; Maquinac menciona conformación LiftingMach para autoelevadores.,Media,Nuevo enriquecimiento 2026-09-02,,,,,plataforma | hidrogrúa | percha para pallets,otro rubro factible,Sí,Media,
PRESOL-020,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,B,75,MetalMec S.R.L.,Implementos y accesorios,Industria / mantenimiento,03571 681577 / 03571 506656,OK,tel:+543571681577,tel:+543571681577 | tel:+543571506656,despacho / producción,"Despacho de implementos, agropartes, tolvas, estructuras, piezas industriales y maquinaria sobre plataforma.","Plataforma 20 tn + hidrogrúa + percha para pallets para implementos, agropartes y piezas industriales.",Ofrecer retiro/entrega con monitoreo GPS.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.170500,-64.118500",Facebook MetalMec,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,fabricante/servicio maquinaria agrícola,Sí,Alta,
PRESOL-021,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,B,75,Oleos San José S.R.L.,Extrusado/aceite de soja,Industria / mantenimiento,03571 692471 / 03571 640630,OK,tel:+543571692471,tel:+543571692471 | tel:+543571640630,responsable de acopio / mantenimiento,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Traslados especiales con plataforma, hidrogrúa, percha para pallets y trazabilidad GPS.",Entrar por mantenimiento/planta.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.182600,-64.102500",Parque Industrial Río Tercero,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,,plataforma | hidrogrúa | percha para pallets,otro rubro factible,Sí,Alta,
PRESOL-022,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,B,50,PROMETVA S.R.L.,Ingeniería / fabricación industrial,Industria / mantenimiento,A relevar vía parque,A relevar,,,despacho / producción,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Traslados especiales con plataforma, hidrogrúa, percha para pallets y trazabilidad GPS.","Ingeniería y fabricación: potencial despacho de piezas, estructuras o equipos.","Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=PROMETVA+S.R.L.+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero,https://parqueindustrial.riotercero.gob.ar/empresas,Listado del parque indica experiencia en ingeniería y fabricación.,Media,Nuevo enriquecimiento 2026-09-02,,,,,plataforma | hidrogrúa | percha para pallets,otro rubro factible,Sí,Media,
PRESOL-023,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,B,75,Río Metal,Estructuras metálicas,Metalmecánica / despacho,+54 9 3571 52-9444,OK,tel:+5493571529444,tel:+5493571529444,despacho / producción,"Despacho de implementos, agropartes, tolvas, estructuras, piezas industriales y maquinaria sobre plataforma.","Plataforma 20 tn + hidrogrúa + percha para pallets para implementos, agropartes y piezas industriales.",Fabricación de estructuras metálicas: posible salida de piezas a obra.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=R%C3%ADo+Metal+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero / Facebook público,https://parqueindustrial.riotercero.gob.ar/empresas,Listado del parque + ficha social pública con teléfono informado.,Alta,Nuevo enriquecimiento 2026-09-02,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,otro rubro factible,Sí,Alta,
PRESOL-024,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,B,50,Taller Sarmiento,Servicios industriales / mantenimiento,Industria / mantenimiento,A relevar vía parque,A relevar,,,mantenimiento / compras,"Movimientos especiales de mantenimiento, repuestos pesados y mudanzas internas de equipos.","Traslados especiales con plataforma, hidrogrúa, percha para pallets y trazabilidad GPS.",Prestación de servicios industriales dentro del parque; posible movimiento de equipos o repuestos pesados.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Taller+Sarmiento+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero,https://parqueindustrial.riotercero.gob.ar/empresas,Empresa listada en Parque Industrial: servicios industriales desde 1992.,Media,Nuevo enriquecimiento 2026-09-02,,,,,plataforma | hidrogrúa | percha para pallets,otro rubro factible,Sí,Media,
