ranking,priority,name,corridor,micro_zone,city,sector,phone,phone_quality,ask_for,offer,hook,google_maps,source,score
11,A,Vial del Centro,Base Río Tercero,Río Tercero,Río Tercero,Obras de infraestructura vial,0351 6411413,OK,operaciones / entregas,"Entrega y descarga de módulos/containers: plataforma 15/20 tn, malacate y posicionamiento en obra.",Pedir próximo movimiento de maquinaria entre frentes.,"https://www.google.com/maps/search/?api=1&query=-32.183000,-64.101000",Parque Industrial Río Tercero,129
12,A,Cooperativa Agrícola La Vencedora,Villa María / RP6,Hernando,Hernando,Acopio / agroinsumos / combustible,0353 4847133,OK,operaciones / entregas,"Entrega y descarga de módulos/containers: plataforma 15/20 tn, malacate y posicionamiento en obra.",Planta nueva 24.000 tn; pedir gerente Ariel Ferreyra.,"https://www.google.com/maps/search/?api=1&query=-32.426000,-63.733000",Facebook / LinkedIn La Vencedora,127
13,A,Metalúrgica Novaretti,Base Río Tercero,Río Tercero,Río Tercero,Recipientes y equipos metalmecánicos,03571 414282 / 03571 606930,OK,despacho / producción,"Despacho de estructuras, piezas de ingeniería, tanques, transformadores y equipos sobre plataforma 20 tn.",Cotizar despacho recurrente a plantas/obras.,"https://www.google.com/maps/search/?api=1&query=-32.169000,-64.117000",novaretti.com.ar,126
14,A,ESISA,Base Río Tercero,Río Tercero,Río Tercero,Viviendas/módulos industrializados,Portería parque: 03571 565662; mail esisaservicios@gmail.com,VER,operaciones / entregas,"Entrega y descarga de módulos/containers: plataforma 15/20 tn, malacate y posicionamiento en obra.",Socio natural para entregas de módulos a obra.,"https://www.google.com/maps/search/?api=1&query=-32.182000,-64.107000",Parque Industrial Río Tercero,125
15,A,AG Viviendas Industrializadas,Córdoba / RN36 norte,Alta Gracia,Alta Gracia,Módulos / viviendas industrializadas,3547 672399 / 3547 420854,OK,operaciones / entregas,"Entrega y descarga de módulos/containers: plataforma 15/20 tn, malacate y posicionamiento en obra.",Cada venta necesita logística: proponer proveedor regional.,"https://www.google.com/maps/search/?api=1&query=-31.655000,-64.420000",Facebook AG Viviendas,124
16,A,AGD — Planta de Acopio Corralito,Corralito / acceso secundario RN36,Corralito · S-253 / S-372 hacia Autovía 36,Corralito,Acopio agroindustrial,03571 492144 / 492172 / 492228,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Acopio AGD; pedir operaciones/mantenimiento.,"https://www.google.com/maps/search/?api=1&query=-32.022500,-64.191000",agd.com.ar/es/corralito-acopio,124
17,A,Industrias Cormetal S.A.,Villa María / RP6,Villa María,Villa María,Metalmecánica / estructuras,0353 4610900 / 0353 6567355,OK,despacho / producción,"Despacho de estructuras, piezas de ingeniería, tanques, transformadores y equipos sobre plataforma 20 tn.",Pedir responsable de logística/despachos.,"https://www.google.com/maps/search/?api=1&query=-32.385796,-63.267403",guiademantenimiento.com / cormetal.com.ar,124
18,A,Lucy’s House / Rental,Córdoba / RN36 norte,Córdoba Norte / Monseñor Pablo Cabrera,Córdoba capital zona sur,Módulos habitacionales,0351 2077113,OK,operaciones / entregas,"Entrega y descarga de módulos/containers: plataforma 15/20 tn, malacate y posicionamiento en obra.",Muy buen encaje para planchada + malacate.,"https://www.google.com/maps/search/?api=1&query=-31.368536,-64.205299",Instagram Lucy’s House,124
19,A,Mayo Transformadores S.R.L.,Villa María / RP6,Villa María,Villa María,Transformadores / metalmecánica,0353 4647606,OK,despacho / producción,"Despacho de estructuras, piezas de ingeniería, tanques, transformadores y equipos sobre plataforma 20 tn.",Seguro de carga + GPS como argumento fuerte.,"https://www.google.com/maps/search/?api=1&query=-32.423000,-63.205000",pilt.com.ar,124
20,A,MegaContainers,Córdoba / RN36 norte,Córdoba Norte-Oeste / Villa Belgrano,Córdoba capital zona sur,Venta/alquiler de containers,0351 5179179,OK,operaciones / entregas,"Entrega y descarga de módulos/containers: plataforma 15/20 tn, malacate y posicionamiento en obra.",Proveedor natural: cada container vendido necesita logística.,"https://www.google.com/maps/search/?api=1&query=-31.350332,-64.254449",megacontainers.com.ar,124
21,A,Tres Eme S.A.,Base Río Tercero,Río Tercero,Río Tercero,Silos y mecanización,03571 432190 / 03571 637720,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Ofrecer flete + descarga/posicionamiento en obra rural.,"https://www.google.com/maps/search/?api=1&query=-32.181000,-64.103000",parqueindustrial.riotercero.gob.ar/empresa/Tres-Eme-S.A.,124
22,A,ACA — Centro de Desarrollo Comercial Tío Pujio,Villa María / RP6,Tío Pujio,Tío Pujio,Acopio gigante / agro,353 5622710 / 0353 4860518 / 0353 4860519,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Pedir Mario Peppino / responsable logística; no ir sin ficha.,"https://www.google.com/maps/search/?api=1&query=-32.288000,-63.356000",Instagram CDC / cooptiopujio.com,122
23,A,Hormicor,Base Río Tercero,Río Tercero,Río Tercero,Hormigón elaborado,03571 500888 / 03571 510066,OK,planta / mantenimiento,Movimiento de equipos de cantera/planta; transporte de áridos sujeto a confirmar unidad volcadora o esquema tercerizado.,Ofrecer respaldo para picos de obra y traslados de equipos.,"https://www.google.com/maps/search/?api=1&query=-32.178000,-64.111000",hormigonelaborado.com / Hormicor,121
24,A,Precons S.R.L.,Córdoba / RN36 norte,Alta Gracia,Alta Gracia,Premoldeados / tanques / construcción,3547 430993,OK,despacho / producción,"Despacho de estructuras, piezas de ingeniería, tanques, transformadores y equipos sobre plataforma 20 tn.",Parque en expansión; ofrecer servicio a clientes finales.,"https://www.google.com/maps/search/?api=1&query=-31.662670,-64.414474",eldirectorio.co / preconssrl.com.ar,121
25,A,Hormi Block S.A.,Córdoba / RN36 norte,Córdoba Sur / RN36-Vélez Sarsfield,Córdoba capital zona sur,Hormigón elaborado,0351 4939510 / 0351 4945800,OK,operaciones / planta,"Apoyo a picos de obra, traslado de equipos de planta, bombas, premoldeados y materiales pesados.",Av. Vélez Sarsfield 5801; entrada directa por corredor.,"https://www.google.com/maps/search/?api=1&query=-31.481687,-64.203118",InfoNegocios / Hormi Block,118
26,A,Paolini Hnos S.A.,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,Obra vial / constructora nacional,011 48779600,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador y materiales entre frentes; descarga segura con hidrogrúa cuando aplique.",Teléfono central; mejor entrar por obrador local.,"https://www.google.com/maps/search/?api=1&query=-33.114000,-64.331000",paolini.com.ar,116
27,A,Canteras Ruiz,Córdoba / RN36 norte,Córdoba Sur-Oeste / canteras,Córdoba capital zona sur,Áridos / cantera,0351 5570618 / 0351 4524228 / 0351 155508346,OK,planta / mantenimiento,Movimiento de equipos de cantera/planta; transporte de áridos sujeto a confirmar unidad volcadora o esquema tercerizado.,Servicio de áridos sólo si se confirma volcador/tercerización.,"https://www.google.com/maps/search/?api=1&query=-31.475000,-64.235000",canterasruiz.com,114
28,A,AG GROUP Industria,Córdoba / RN36 norte,Contacto remoto / Jesús María,Córdoba capital zona sur,Módulos / construcción industrializada,3525 513210,OK,operaciones / entregas,"Entrega y descarga de módulos/containers: plataforma 15/20 tn, malacate y posicionamiento en obra.","Aunque está en Jesús María, vende en Córdoba; ofrecer logística provincial.","https://www.google.com/maps/search/?api=1&query=-31.000000,-64.090000",aggroupindustria.com.ar,112
29,A,IMBAL S.A.,Base Río Tercero,Río Tercero,Río Tercero,Estructuras metálicas / montaje,A relevar en terreno,A relevar,despacho / producción,"Despacho de estructuras, piezas de ingeniería, tanques, transformadores y equipos sobre plataforma 20 tn.",Fabrican y montan; pedir responsable de despacho/montaje.,"https://www.google.com/maps/search/?api=1&query=-32.180000,-64.106000",Parque Industrial Río Tercero / LinkedIn comercial,112
30,A,BIDESA Obras Viales y Civiles,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,Obra vial / UTE,A relevar en obrador,A relevar,jefe de obra / logística,"Transporte de equipos, módulos de obrador y materiales entre frentes; descarga segura con hidrogrúa cuando aplique.","Si está en obra, entrar por obrador; teléfono no público.","https://www.google.com/maps/search/?api=1&query=-33.108000,-64.327000",Construar / Boletín Oficial,108
31,A,Héctor A. Bertone S.A.,Villa María / RP6,Villa María,Villa María,Acopio / logística granaria,A relevar,A relevar,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Pedir responsable de logística/acopio; teléfono a relevar.,"https://www.google.com/maps/search/?api=1&query=-32.389000,-63.251000",HAB / LinkedIn logística,108
32,A,Luciano S.A.,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,Obra vial / UTE,A relevar,A relevar,jefe de obra / logística,"Transporte de equipos, módulos de obrador y materiales entre frentes; descarga segura con hidrogrúa cuando aplique.",Oferente/contratista; buscar obrador primero.,"https://www.google.com/maps/search/?api=1&query=-33.111000,-64.329000",Construar / licitaciones,108
33,A,Corralón Mis Ladrillos,Córdoba / RN36 norte,Córdoba Oeste / Av. Colón,Córdoba capital zona sur,Corralón mayorista,0351 3705858,OK,responsable de logística/compras,Detectar el próximo movimiento pesado y convertirlo en cotización concreta.,Entrada rápida a mercado capitalino; ofrecer reparto pesado regional.,"https://www.google.com/maps/search/?api=1&query=-31.396774,-64.251905",Vuelta Canela / directorio,104
34,B,Capello S.A.,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,Constructora / corralón,0358 4645929,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador y materiales entre frentes; descarga segura con hidrogrúa cuando aplique.",Vender apoyo logístico para obras y compras pesadas.,"https://www.google.com/maps/search/?api=1&query=-33.121500,-64.350500",guia.deriocuarto.ar,104
35,A,Grupo Calidra / Cal Malagueño,Córdoba / RN36 norte,Malagueño,Malagueño,Cal / minería / áridos,A relevar,A relevar,planta / mantenimiento,Movimiento de equipos de cantera/planta; transporte de áridos sujeto a confirmar unidad volcadora o esquema tercerizado.,Prospecto grande; entrar por mantenimiento/proveedores.,"https://www.google.com/maps/search/?api=1&query=-31.467000,-64.358000",calidra.com.ar / investigación web,100
36,B,DM Constructora,Villa María / RP6,Villa María,Villa María,Constructora,0353 4260498,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador y materiales entre frentes; descarga segura con hidrogrúa cuando aplique.",Pedir responsable de compras/obra.,"https://www.google.com/maps/search/?api=1&query=-32.408066,-63.245873",dmconstructora.com.ar,99
37,B,Doble A Servicios Metalúrgicos,Río Cuarto / RN36 sur,Berrotarán,Berrotarán,Zinguería / estructuras metálicas,358 4185826,OK,despacho / producción,"Despacho de estructuras, piezas de ingeniería, tanques, transformadores y equipos sobre plataforma 20 tn.",Visitar y detectar obras/instalaciones próximas.,"https://www.google.com/maps/search/?api=1&query=-32.452000,-64.388000",Facebook Doble A Servicios Metalúrgicos,99
38,B,Ghio Construcciones,Villa María / RP6,Villa María,Villa María,Constructora / desarrollos,0353 4016390,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador y materiales entre frentes; descarga segura con hidrogrúa cuando aplique.",Solicitar próximo traslado de obra.,"https://www.google.com/maps/search/?api=1&query=-32.415019,-63.237719",Instagram Ghio Construcciones,99
39,B,Agrorio Maquinarias,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,Maquinaria agrícola,03586 093110,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Ofrecer PRESOL como transportista regional confiable.,"https://www.google.com/maps/search/?api=1&query=-33.125500,-64.382000",Facebook AgroRío,97
40,B,Cooperativa Agropecuaria Almafuerte,Villa María / RP6,Almafuerte,Almafuerte,Acopio / semillas / agroinsumos,03571 471182,OK,operaciones / entregas,"Entrega y descarga de módulos/containers: plataforma 15/20 tn, malacate y posicionamiento en obra.",100.000 tn acopiadas; preguntar ampliaciones/mantenimiento.,"https://www.google.com/maps/search/?api=1&query=-32.192000,-64.255000",essapp.coop / Coop. Almafuerte,97
41,B,Cooperativa Alba de Gigena,Río Cuarto / RN36 sur,Alcira Gigena,Alcira Gigena,Cooperativa agropecuaria,0358 4960151,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Visita de diagnóstico; posible derivación a productores.,"https://www.google.com/maps/search/?api=1&query=-32.757500,-64.335000",DNB / fuentes públicas,97
42,B,Cotagro — Río Cuarto,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,Agro / fertilizantes / acopio,0358 4933333,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Punto dentro de red Cotagro; usar puerta Alcira si funciona.,"https://www.google.com/maps/search/?api=1&query=-33.118000,-64.322000",cotagroweb.com.ar/contacto,97
43,B,Cotagro — Sucursal Chucul,Río Cuarto / RN36 sur,Chucul,Chucul,Acopio agropecuario,0358 4912008 / 0358 4933333,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Punto de paso; no dedicar medio día.,"https://www.google.com/maps/search/?api=1&query=-33.016000,-64.208000",Maptons / Cotagro,97
44,B,Fontezuela Cereales,Río Cuarto / RN36 sur,Río Cuarto,Río Cuarto,Acopio / cereales,02477 497135/37,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Consultar frecuencia de movimientos especiales.,"https://www.google.com/maps/search/?api=1&query=-33.123200,-64.345300",fontezuelacereales.com.ar,97
45,B,Gliestore S.A.,Río Cuarto / RN36 sur,Elena,Elena,Soja / alimentos / exportación,0358 4641548 / 9358 4024598,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Empresa exportadora; preguntar por logística de equipos y planta.,"https://www.google.com/maps/search/?api=1&query=-32.571800,-64.390000",Exportadores de Córdoba,97
46,B,Boetto y Buttigliengo S.A.,Córdoba / RN36 norte,Córdoba capital,Córdoba capital,Constructora,0351 4653272,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador y materiales entre frentes; descarga segura con hidrogrúa cuando aplique.",Prospecto grande; mejor por obra/encargado que por administración.,"https://www.google.com/maps/search/?api=1&query=-31.449963,-64.252114",BNamericas / bbcsa.com.ar,96
47,B,CABIAL Empresa Constructora,Córdoba / RN36 norte,Córdoba capital,Córdoba capital,Constructora,0351 4822855 / 0351 4658599,OK,jefe de obra / logística,"Transporte de equipos, módulos de obrador y materiales entre frentes; descarga segura con hidrogrúa cuando aplique.","Cotizar traslado concreto, no presentación genérica.","https://www.google.com/maps/search/?api=1&query=-31.438000,-64.205000",arempresas.com,96
48,B,MetalMec S.R.L.,Base Río Tercero,Río Tercero,Río Tercero,Implementos y accesorios,03571 681577 / 03571 506656,OK,despacho / producción,"Despacho de estructuras, piezas de ingeniería, tanques, transformadores y equipos sobre plataforma 20 tn.",Ofrecer retiro/entrega con monitoreo GPS.,"https://www.google.com/maps/search/?api=1&query=-32.170500,-64.118500",Facebook MetalMec,96
49,B,Dipromas S.R.L.,Villa María / RP6,Villa María,Villa María,Metalmecánica / PILT,0353 4296608,OK,despacho / producción,"Despacho de estructuras, piezas de ingeniería, tanques, transformadores y equipos sobre plataforma 20 tn.",Visita dentro del PILT; pedir compras/logística.,"https://www.google.com/maps/search/?api=1&query=-32.421000,-63.203000",pilt.com.ar,94
50,B,Frigorífico La Pequeña S.R.L.,Villa María / RP6,Villa María,Villa María,Alimenticia / frigorífico,0353 154197312,OK,despacho / producción,"Despacho de estructuras, piezas de ingeniería, tanques, transformadores y equipos sobre plataforma 20 tn.",No vender frío común; vender movimientos especiales.,"https://www.google.com/maps/search/?api=1&query=-32.420000,-63.209000",pilt.com.ar,94
51,B,Mattsay Steel Frame,Córdoba / RN36 norte,Alta Gracia,Alta Gracia,Casas modulares / steel frame,3547 477530,OK,operaciones / entregas,"Entrega y descarga de módulos/containers: plataforma 15/20 tn, malacate y posicionamiento en obra.",Instalación en lote; preguntar si tercerizan traslados.,"https://www.google.com/maps/search/?api=1&query=-31.653000,-64.428000",mattsay.com,94
52,B,Oleos San José S.R.L.,Base Río Tercero,Río Tercero,Río Tercero,Extrusado/aceite de soja,03571 692471 / 03571 640630,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Entrar por mantenimiento/planta.,"https://www.google.com/maps/search/?api=1&query=-32.182600,-64.102500",Parque Industrial Río Tercero,94
53,B,Sarmiento Materiales,Villa María / RP6,Villa María,Villa María,Corralón / materiales,0353 4610259 / 0353 4112139,OK,despacho / producción,"Despacho de estructuras, piezas de ingeniería, tanques, transformadores y equipos sobre plataforma 20 tn.",Cotizar reparto pesado fuera de zona o picos.,"https://www.google.com/maps/search/?api=1&query=-32.411372,-63.226831",sarmientomateriales / directorio,94
54,B,Stainless Steel Manufacturers S.R.L.,Villa María / RP6,Villa María,Villa María,Acero inoxidable / fabricación,0353 4792885,OK,despacho / producción,"Despacho de estructuras, piezas de ingeniería, tanques, transformadores y equipos sobre plataforma 20 tn.",Posicionar transporte seguro para piezas terminadas.,"https://www.google.com/maps/search/?api=1&query=-32.425000,-63.207000",pilt.com.ar,94
55,B,Agrohernando,Villa María / RP6,Hernando,Hernando,Acopio / granos / insumos,0353 4960418,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Empresa familiar 20 años; pedir responsable de operaciones.,"https://www.google.com/maps/search/?api=1&query=-32.428000,-63.730000",agrohernando.com.ar,92
56,B,Industria Metal-Her,Villa María / RP6,Hernando,Hernando,Implementos agrícolas / tolvas,0353 156568385 / 0353 4846509,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Muy buen encaje para entregas a clientes y ferias.,"https://www.google.com/maps/search/?api=1&query=-32.424000,-63.737000",Facebook Industria Metal-Her,92
57,B,IngaV Constructora,Córdoba / RN36 norte,Córdoba capital,Córdoba capital,Constructora,0351 5890684 / 0351 5579222 (verificar),VER,jefe de obra / logística,"Transporte de equipos, módulos de obrador y materiales entre frentes; descarga segura con hidrogrúa cuando aplique.",Contacto directo WhatsApp; pedir próximo traslado.,"https://www.google.com/maps/search/?api=1&query=-31.413163,-64.170080",ingavconstructora.com.ar,92
58,B,Metalúrgica Jor-Ba / Grupo Tío Pujio,Villa María / RP6,Tío Pujio,Tío Pujio,Metalúrgica / extrusado soja,03573 402941,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Validar si operación está en Tío Pujio o Villa del Rosario.,"https://www.google.com/maps/search/?api=1&query=-32.290000,-63.352000",Facebook Metalúrgica Jor-Ba,92
59,B,Villa María Cereales,Villa María / RP6,Villa María,Villa María,Acopio / agroinsumos,03535 656802,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",RN 9 km 553; consultar próximos movimientos.,"https://www.google.com/maps/search/?api=1&query=-32.386500,-63.260000",Facebook Villa María Cereales,92
60,B,Charrúa Implementos Agrícolas,Base Río Tercero,Río Tercero,Río Tercero,Implementos agrícolas,03571 619149 / 03571 503663 (a confirmar),VER,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Pedir frecuencia de entregas a concesionarios/campos.,"https://www.google.com/maps/search/?api=1&query=-32.168609,-64.118792",Web/Facebook Charrúa,90
61,B,Hormilas S.A.,Base Río Tercero,Río Tercero,Río Tercero,Hormigón elaborado,03571 573231 (a confirmar),VER,operaciones / planta,"Apoyo a picos de obra, traslado de equipos de planta, bombas, premoldeados y materiales pesados.",Visita breve: detectar si tercerizan fletes de planta.,"https://www.google.com/maps/search/?api=1&query=-32.163876,-64.106999",Parque Industrial Río Tercero / búsqueda web,89
62,B,Metal-Ferr,Córdoba / RN36 norte,Despeñaderos,Despeñaderos,Metalúrgica agro/industria,3547 525300 / 3547 492716,OK,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Empresa local 25+ años; pedir producción/despacho.,"https://www.google.com/maps/search/?api=1&query=-31.817000,-64.294000",metal-ferr.com/contacto,89
63,B,Trisoil S.A.,Corralito / acceso secundario RN36,Corralito · S-253 / S-372 hacia Autovía 36,Corralito,Alimentos balanceados / aceite,03571 502525 / 502526,OK,mantenimiento / compras,"Traslados especiales de mantenimiento, repuestos pesados, mudanzas internas y cargas con seguro/GPS.",Ofrecer fletes de repuestos/equipos y cargas especiales.,"https://www.google.com/maps/search/?api=1&query=-32.030000,-64.183000",trisoil.com.ar,88
64,B,S.A. Molinos Fénix,Villa María / RP6,Villa María,Villa María,Molino / alimentos,0353 4533573,OK,mantenimiento / compras,"Traslados especiales de mantenimiento, repuestos pesados, mudanzas internas y cargas con seguro/GPS.",Preguntar por movimientos de maquinaria/planta.,"https://www.google.com/maps/search/?api=1&query=-32.410000,-63.246000",molinosfenix.com.ar,86
65,B,Parque Industrial y Logístico Las Higueras,Río Cuarto / RN36 sur,Las Higueras,Las Higueras,Radicaciones / logística,A relevar vía municipio/parque,A relevar,despacho / producción,"Despacho de estructuras, piezas de ingeniería, tanques, transformadores y equipos sobre plataforma 20 tn.",Pedir listado de empresas radicadas y obras en apertura de calles.,"https://www.google.com/maps/search/?api=1&query=-33.093000,-64.288000",argentina.gob.ar / La Voz,85
66,B,Grupo Buglione,Córdoba / RN36 norte,Alta Gracia,Alta Gracia,Autopartes / remanufactura,0351 6512408 / 0351 3271171 / 03547 432121,OK,mantenimiento / compras,"Traslados especiales de mantenimiento, repuestos pesados, mudanzas internas y cargas con seguro/GPS.",Parque N°53; entrar por logística/compras.,"https://www.google.com/maps/search/?api=1&query=-31.660000,-64.430000",Facebook Grupo Buglione,83
67,B,Porta Hnos.,Córdoba / RN36 norte,Córdoba Sur / Camino San Antonio,Córdoba capital zona sur,Industrial / alcohol / alimentos,0351 4938400,OK,mantenimiento / compras,"Traslados especiales de mantenimiento, repuestos pesados, mudanzas internas y cargas con seguro/GPS.","Camino San Antonio km 4,5: visitar si entra en ruta Córdoba sur.","https://www.google.com/maps/search/?api=1&query=-31.490145,-64.189401",portahnos.com.ar,83
68,B,Fábrica Militar Río Tercero,Base Río Tercero,Río Tercero,Río Tercero,Industria estatal / metalmecánica pesada,A relevar,A relevar,despacho / producción,"Despacho de estructuras, piezas de ingeniería, tanques, transformadores y equipos sobre plataforma 20 tn.",Entrar por proveedores/subcontratistas antes que compra directa estatal.,"https://www.google.com/maps/search/?api=1&query=-32.181966,-64.113216",Fabricaciones Militares / informes previos,82
69,B,Atanor / Albaugh,Base Río Tercero,Río Tercero,Río Tercero,Química / agroquímicos,A relevar,A relevar,responsable de acopio / mantenimiento,"Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",No vender por puerta fría baja; pedir compras/mantenimiento.,"https://www.google.com/maps/search/?api=1&query=-32.173000,-64.110000",Albaugh / noticias sectoriales,80
