ID,Estado de contacto,Corredor,Microzona,Ciudad,Clase,Puntaje operativo,Empresa,Sector,Segmento comercial,Teléfonos,Calidad del teléfono,Teléfono principal (tel:),Links telefónicos,Preguntar por,Necesidad probable,Oferta PRESOL,Gancho comercial,Acción sugerida,Dato pendiente,Google Maps,Fuente,URL fuente,Evidencia,Calidad del dato,Origen del registro,Resultado,Fecha de visita,Próximo paso,Notas de campo,Servicios PRESOL a ofrecer,Rubro foco enriquecimiento,Ciudad foco solicitada,Prioridad visita sugerida,Observación servicio nuevo,Fuente unificación,Notas de unificación
RT-011,Pendiente,Base Río Tercero,Río Tercero / zona industrial,Río Tercero,A,85,Alpha Construcciones Industriales S.A.,Construcción industrial / estructuras,Obra / constructora,A relevar,A relevar,,,jefe de obra / operaciones,"Traslado de maquinaria, módulos de obrador, estructuras y equipos entre depósitos y frentes de obra.",Transporte especial de equipos/obrador + plataforma 20 tn + apoyo de hidrogrúa según maniobra + seguro/GPS.,Ficha pública ubica fábrica/constructora industrial sobre Av. Savio en Río Tercero.,"Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Alpha+Construcciones+Industriales+S.A.+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Google Maps / ficha pública,https://www.google.com/maps/search/?api=1&query=Alpha+Construcciones+Industriales+SA+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Ficha pública ubica fábrica/constructora industrial sobre Av. Savio en Río Tercero.,Media,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,áridos/construcción/premoldeados,Sí,Alta,,GPT adjunto,ID fuente: RT-010
RT-012,Pendiente,Base Río Tercero,Río Tercero / zona industrial,Río Tercero,A,85,Caon - Concesionario Oficial CASE IH,Maquinaria agrícola / servicio técnico,Industria / mantenimiento,03571 682141,OK,tel:+543571682141,tel:+543571682141,logística / entregas / postventa,"Traslado de maquinaria agrícola o vial entre sucursal, cliente, taller, campo y eventos.","Traslado de maquinaria en plataforma 20 tn, coordinación de retiro/entrega y apoyo de hidrogrúa si corresponde.","Concesionario CASE IH en Río Tercero; posible traslado de maquinaria a clientes, ferias o servicio.","Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Caon+-+Concesionario+Oficial+CASE+IH+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Google Maps / ficha pública,https://www.google.com/maps/search/?api=1&query=Caon+CASE+IH+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,"Concesionario CASE IH en Río Tercero; posible traslado de maquinaria a clientes, ferias o servicio.",Alta,Enriquecimiento web 2026-09-07,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,fabricante/servicio maquinaria agrícola,Sí,Muy alta,,GPT adjunto,ID fuente: RT-011
RT-013,Pendiente,Base Río Tercero,Río Tercero / zona industrial,Río Tercero,A,85,Cimat SRL,Equipos y maquinaria agrícola,Industria / mantenimiento,03571 422153,OK,tel:+543571422153,tel:+543571422153,logística / entregas / postventa,"Traslado de maquinaria agrícola o vial entre sucursal, cliente, taller, campo y eventos.","Traslado de maquinaria en plataforma 20 tn, coordinación de retiro/entrega y apoyo de hidrogrúa si corresponde.","Ficha pública en Río Tercero: proveedor de equipos agrícolas, con teléfono y local comercial.","Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Cimat+SRL+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Google Maps / ficha pública,https://www.google.com/maps/search/?api=1&query=Cimat+SRL+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,"Ficha pública en Río Tercero: proveedor de equipos agrícolas, con teléfono y local comercial.",Alta,Enriquecimiento web 2026-09-07,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,fabricante/servicio maquinaria agrícola,Sí,Muy alta,,GPT adjunto,ID fuente: RT-012
RT-014,Pendiente,Base Río Tercero,Río Tercero / zona industrial,Río Tercero,A,85,D & M ESTRUCTURAS,Estructuras metálicas,Metalmecánica / despacho,A relevar,A relevar,,,despacho / producción,"Despacho de estructuras, piezas, equipos y conjuntos metalmecánicos de gran porte hacia obras o clientes.",Plataforma 20 tn para piezas/estructuras + seguro de carga + trazabilidad GPS + apoyo de hidrogrúa según maniobra.,Ficha pública local identifica empresa de construcciones metálicas.,"Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=D+%26+M+ESTRUCTURAS+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Google Maps / ficha pública,https://www.google.com/maps/search/?api=1&query=D+%26+M+ESTRUCTURAS+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Ficha pública local identifica empresa de construcciones metálicas.,Media,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones | plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,otro rubro factible,Sí,Alta,,GPT adjunto,ID fuente: RT-013
RT-015,Pendiente,Base Río Tercero,Río Tercero / zona industrial,Río Tercero,A,85,Duter S.A.,Fabricación de repuestos agrícolas,Industria / mantenimiento,03571 565177,OK,tel:+543571565177,tel:+543571565177,logística / despacho / postventa,"Traslado de maquinaria, implementos, equipos terminados y componentes de gran porte entre planta, cliente, obra o feria.",Plataforma 20 tn + malacate/hidrogrúa según maniobra + seguro de carga + trazabilidad GPS.,Empresa radicada en el Parque Industrial para fabricación de repuestos agrícolas; teléfono público local.,"Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Duter+S.A.+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Parque Industrial Río Tercero / ficha pública,https://parqueindustrial.riotercero.gob.ar/empresas,Empresa radicada en el Parque Industrial para fabricación de repuestos agrícolas; teléfono público local.,Alta,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones | plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,otro rubro factible,Sí,Muy alta,"Percha pallets: útil para insumos, bolsones, repuestos y materiales palletizados.",GPT adjunto,ID fuente: RT-014
RT-016,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,A,85,ESISA,Viviendas/módulos industrializados,Módulos / containers,Portería parque: 03571 565662; mail esisaservicios@gmail.com,VER,tel:+543571565662,tel:+543571565662,operaciones / entregas,"Entrega, descarga y posicionamiento de módulos/containers en obra o cliente final.","Entrega y descarga de módulos/containers con plataforma, malacate e hidrogrúa según maniobra.",Socio natural para entregas de módulos a obra.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.182000,-64.107000",Parque Industrial Río Tercero,,Registro curado en documento de dirección PRESOL 2026-09.,Media,Base curada PDF dirección,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,otro rubro factible,Sí,Muy alta,,GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios. | ID fuente: RT-015
RT-017,Pendiente,Base Río Tercero,Río Tercero / zona industrial,Río Tercero,A,85,ISECO Construcción,Construcción industrial,Obra / constructora,+54 9 3571 551917,OK,tel:+5493571551917,tel:+5493571551917,jefe de obra / operaciones,"Traslado de maquinaria, módulos de obrador, estructuras y equipos entre depósitos y frentes de obra.",Transporte especial de equipos/obrador + plataforma 20 tn + apoyo de hidrogrúa según maniobra + seguro/GPS.,"Constructora localizada en el Parque Industrial; posible movimiento de estructuras, equipos y obradores.","Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=ISECO+Construcci%C3%B3n+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Google Maps / ficha pública,https://www.google.com/maps/search/?api=1&query=ISECO+Construcci%C3%B3n+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,"Constructora localizada en el Parque Industrial; posible movimiento de estructuras, equipos y obradores.",Alta,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones,áridos/construcción/premoldeados,Sí,Muy alta,,GPT adjunto,
RT-018,Pendiente,Base Río Tercero,Río Tercero / zona industrial,Río Tercero,A,85,Luzenti Hnos S.A.,Montaje industrial / construcciones metálicas,Obra / constructora,03584 860532,VER,tel:+543584860532,tel:+543584860532,jefe de obra / operaciones,"Traslado de maquinaria, módulos de obrador, estructuras y equipos entre depósitos y frentes de obra.",Transporte especial de equipos/obrador + plataforma 20 tn + apoyo de hidrogrúa según maniobra + seguro/GPS.,Empresa de construcciones metálicas y montaje industrial radicada en Río Tercero.,"Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Luzenti+Hnos+S.A.+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Google Maps / Parque Industrial,https://www.google.com/maps/search/?api=1&query=Luzenti+Hnos+SA+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Empresa de construcciones metálicas y montaje industrial radicada en Río Tercero.,Media,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones | plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,áridos/construcción/premoldeados,Sí,Muy alta,,GPT adjunto,
RT-019,Pendiente,Base Río Tercero,Río Tercero / zona industrial,Río Tercero,A,85,NEMETAL S.A.S,Fabricación metalúrgica / reparación de maquinaria agrícola,Metalmecánica / despacho,03571 550608,OK,tel:+543571550608,tel:+543571550608,despacho / producción,"Despacho de estructuras, piezas, equipos y conjuntos metalmecánicos de gran porte hacia obras o clientes.",Plataforma 20 tn para piezas/estructuras + seguro de carga + trazabilidad GPS + apoyo de hidrogrúa según maniobra.,Ficha pública en zona industrial; el listado del parque identifica NE Metalúrgica vinculada a reparación de maquinaria agrícola.,"Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=NEMETAL+S.A.S+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Google Maps / Parque Industrial Río Tercero,https://www.google.com/maps/search/?api=1&query=NEMETAL+SAS+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Ficha pública en zona industrial; el listado del parque identifica NE Metalúrgica vinculada a reparación de maquinaria agrícola.,Alta,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones | plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,fabricante/servicio maquinaria agrícola,Sí,Muy alta,,GPT adjunto,
RT-020,Pendiente,Base Río Tercero,Río Tercero / zona industrial,Río Tercero,A,85,Sclauzero Metalúrgica,Fabricación y provisión de máquinas / metalurgia,Metalmecánica / despacho,03571 414014,OK,tel:+543571414014,tel:+543571414014,despacho / producción,"Despacho de estructuras, piezas, equipos y conjuntos metalmecánicos de gran porte hacia obras o clientes.",Plataforma 20 tn para piezas/estructuras + seguro de carga + trazabilidad GPS + apoyo de hidrogrúa según maniobra.,"Ficha pública local: proveedor de máquinas de metal, con teléfono.","Llamada prioritaria; pedir próximo traslado concreto y, si hay encaje, coordinar visita.","Confirmar decisor, frecuencia de movimientos y vigencia del contacto antes de cotizar.",https://www.google.com/maps/search/?api=1&query=Sclauzero+Metal%C3%BArgica+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Google Maps / ficha pública,https://www.google.com/maps/search/?api=1&query=Sclauzero+Metal%C3%BArgica+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,"Ficha pública local: proveedor de máquinas de metal, con teléfono.",Alta,Enriquecimiento web 2026-09-07,,,,,transporte de áridos/materiales | hidrogrúa para carga/descarga | percha para pallets/bolsones | plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,otro rubro factible,Sí,Muy alta,,GPT adjunto,
RT-021,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,A,75,IMBAL S.A.,Estructuras metálicas / montaje,Metalmecánica / despacho,A relevar en terreno,A relevar,,,despacho / producción,"Despacho seguro de estructuras, carrozados, tanques, piezas industriales y equipos sobre plataforma.","Despacho de estructuras, tanques, transformadores, piezas de ingeniería y equipos sobre plataforma 20 tn.",Fabrican y montan; pedir responsable de despacho/montaje.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.180000,-64.106000",Parque Industrial Río Tercero / LinkedIn comercial,,Registro curado en documento de dirección PRESOL 2026-09.,Media,Base curada PDF dirección,,,,,plataforma 20 tn para maquinaria/piezas | hidrogrúa para maniobras | percha para pallets,otro rubro factible,Sí,Alta,,GPT adjunto + Hermes,Fusionado con base Hermes para completar teléfonos/fuentes/servicios.
RT-022,Pendiente,Base Río Tercero,Parque Industrial / PRFV,Río Tercero,B,85,J.A.F. Plásticos Reforzados,Plástico reforzado con fibra de vidrio / PRFV / piezas industriales y piletas,Piletas / PRFV / plástico reforzado,3571 533624 / 3571 579801 / portería parque 03571 565662,OK,tel:+543571533624,tel:+543571533624 | tel:+543571579801 | tel:+543571565662,producción / logística,"Retiro, traslado y descarga de piletas/fibra o piezas voluminosas livianas, con cuidado de maniobra.",Plataforma + hidrogrúa para trasladar y descargar piletas/piezas PRFV; coordinar maniobra sin golpes.,"PRFV con aplicaciones industriales, tanques, piletones y piletas; piezas voluminosas de bajo peso con necesidad de cuidado en maniobra.",Pedir por producción/logística y consultar si tercerizan traslados de piezas PRFV o entregas especiales.,Confirmar punto operativo: ficha del parque Río Tercero y web con domicilio en Almafuerte.,https://www.google.com/maps/search/?api=1&query=J.A.F.+Pl%C3%A1sticos+Reforzados+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Web propia + Parque Industrial Río Tercero,https://jafplasticosreforzados.com,"Web informa PRFV, piletas/piezas, transporte/logística propia y teléfonos 3571 533624 / 3571 579801; ficha parque lista J.A.F. Plásticos Reforzados.",Alta,Nuevo enriquecimiento zonas priorizadas 2026-09,,,,,plataforma para piletas/fibra | hidrogrúa para descarga/posicionamiento,piletas/plástico/PRFV,Sí,Alta,,Hermes único,Alta única desde base Hermes; no estaba en el Excel GPT adjunto. | ID fuente: PRESOL-120
