sep=;
prioridad;nombre;telefono_google;whatsapp_estado;whatsapp_para_contacto;whatsapp_link;website;email;direccion;rating;reviews;categoria;nota_outreach;query_fuente;cid
🟡;La Compañía de Cariló;02254 57-9040;probable_no_verificado_google_phone;5492254579040;https://wa.me/5492254579040;http://www.lacompaniadecarilo.com.ar/;;Av. Divisadero 1526 Loc 11, B7167 Cariló, Provincia de Buenos Aires;4.4;52;Agencia inmobiliaria;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir";inmobiliaria Cariló Pinamar;14534072700563170063
🟡;Inmobiliaria Gabriel Garro Pinamar;02254 42-2945;probable_no_verificado_google_phone;5492254422945;https://wa.me/5492254422945;https://www.inmobiliariagarro.com.ar/;;De las Gaviotas 11, B7167 Pinamar, Provincia de Buenos Aires;5;36;Agencia inmobiliaria;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir";broker inmobiliario Pinamar;2453641795753093850
🟡;Su Inmobiliaria;02254 48-3510;probable_no_verificado_google_phone;5492254483510;https://wa.me/5492254483510;http://www.suinmobiliaria.com.ar/;;Moreno 138, B7167 Ostende, Provincia de Buenos Aires;3.7;34;Agencia inmobiliaria;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir";inmobiliaria Ostende Pinamar;11442722772034486964
🟡;Tina Caldis Propiedades;02254 57-0212;probable_no_verificado_google_phone;5492254570212;https://wa.me/5492254570212;http://www.tinacaldis.com.ar/;;Av. Divisadero 1526 local 2, B7167 Cariló, Provincia de Buenos Aires;4.7;25;Agentes inmobiliarios;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir";inmobiliaria Cariló Pinamar;10802000467930081727
🟡;BD Propiedades Carilo - Bourimborde Damiani;02254 60-5598;probable_no_verificado_google_phone;5492254605598;https://wa.me/5492254605598;https://www.bdpropiedadescarilo.com.ar/;;Av. Divisadero 1526 Loc 10A, B7167 Cariló, Provincia de Buenos Aires;3.3;24;Agencia inmobiliaria;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir";inmobiliaria Cariló Pinamar;14229043660291482919
🟡;OBREGÓN INMOBILIARIA EN PINAMAR;02254 59-4396;probable_no_verificado_google_phone;5492254594396;https://wa.me/5492254594396;http://inmobiliariaobregon.com.ar/;;Av. Constitución 1235, B7167 Pinamar, Provincia de Buenos Aires;4.9;13;Agencia inmobiliaria;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir";inmobiliarias Pinamar Buenos Aires;11767781799481369575
🟡;Precona Propiedades;02267 44-0100;probable_no_verificado_google_phone;5492267440100;https://wa.me/5492267440100;http://www.preconapropiedadescarilo.com/;silvinaprecona@gmail.com;Av. Divisadero 1526 L38, B7167, B7167 Cariló, Provincia de Buenos Aires;4.6;9;Agencia de bienes inmuebles comerciales;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir; email visible";inmobiliaria Cariló Pinamar;2928519926352339337
🟡;Tienda de propiedades JTG;011 5993-8026;probable_no_verificado_google_phone;5491159938026;https://wa.me/5491159938026;https://tiendadepropiedades.com.ar/;info@tiendadepropiedades.com.ar;Biarritz 300, B7167 Mar de Ostende, Provincia de Buenos Aires;;;Agencia inmobiliaria;"Teléfono de Google; WhatsApp a verificar manualmente; tiene web para auditar antes de escribir; email visible";inmobiliaria Ostende Pinamar;9347183059867323929
🟡;Inmobiliaria POJILA;02267 63-8935;probable_no_verificado_google_phone;5492267638935;https://wa.me/5492267638935;;;Av. Espora 766, B7167 Valeria del Mar, Provincia de Buenos Aires;5;5;Agentes inmobiliarios;"Teléfono de Google; WhatsApp a verificar manualmente; sin web detectada en Google Places";inmobiliaria Valeria del Mar Pinamar;13777081083438803811
🟡;d'alessandro propiedades valeria del mar;0223 513-6337;probable_no_verificado_google_phone;5492235136337;https://wa.me/5492235136337;;;Av. Espora 1686, B7167 Pinamar, Provincia de Buenos Aires;5;4;Agencia inmobiliaria;"Teléfono de Google; WhatsApp a verificar manualmente; sin web detectada en Google Places";inmobiliaria Valeria del Mar Pinamar;13149399078422651589
